Date,Open,High,Low,Close,Vol
1973/08/17,66.8,67,66.35,66.85,0
1973/08/20,67.8,68,67.3,67.35,0
1973/08/21,67.5,67.6,66.6,67.1,0
1973/08/22,67,67.8,65.5,65.8,0
1973/08/23,65.4,67.75,65.4,66.75,0
1973/08/24,67.4,67.55,66.4,66.6,0
1973/08/27,65.95,66.4,65.75,65.9,0
1973/08/28,66.1,66.1,64,64,0
1973/08/29,63.1,64.1,62,63.45,0
1973/08/30,63,64,63,63.87,0
1973/08/31,64.3,64.69,63.8,64.02,0
1973/09/04,65.45,65.5,64.2,64.32,0
1973/09/05,63.5,63.85,63.35,63.7,0
1973/09/06,63.5,64,63.31,63.6,0
1973/09/07,63.5,64.1,63.5,63.8,0
1973/09/10,63.75,63.85,63.3,63.35,0
1973/09/11,63.1,63.3,62.45,63.02,0
1973/09/12,63.3,63.95,63.3,63.65,0
1973/09/13,65,65.4,64.4,64.5,0
1973/09/14,64.9,66.45,64.5,66.45,0
1973/09/17,65.3,66,64.7,65.75,0
1973/09/18,65.7,66.01,64.75,65.62,0
1973/09/19,65.5,65.75,65,65.15,0
1973/09/20,65,65.3,64.6,64.8,0
1973/09/21,64.6,65.15,64.55,64.65,0
1973/09/24,65.1,66.15,64.85,65.7,0
1973/09/25,66.5,67.5,66.5,67.3,0
1973/09/26,67.5,69.2,67.5,68.4,0
1973/09/27,68.6,69.35,68.1,68.55,0
1973/09/28,68.4,68.5,67.7,67.82,0
1973/10/01,67.75,68.35,67.75,68,0
1973/10/02,68.31,68.95,68.3,68.47,0
1973/10/03,68.75,68.8,68.2,68.45,0
1973/10/04,68.2,68.45,67.8,68.12,0
1973/10/05,68.11,68.48,67,68.22,0
1973/10/09,68.7,68.7,67.5,67.7,0
1973/10/10,67.88,68.35,67.81,67.95,0
1973/10/11,67.8,67.8,67,67.02,0
1973/10/12,66.8,66.8,65.03,65.07,0
1973/10/15,64.1,64.6,63.74,64.15,0
1973/10/16,64.75,65,64.1,64.33,0
1973/10/17,64.1,64.65,64.1,64.2,0
1973/10/18,63.8,65,63.8,64.93,0
1973/10/19,65.3,65.45,64.8,65.2,0
1973/10/23,65.4,65.65,65.1,65.2,0
1973/10/24,65.05,65.05,64.5,64.53,0
1973/10/25,64.6,64.9,64.5,64.83,0
1973/10/26,65.1,65.15,64.6,64.78,0
1973/10/29,64.9,64.9,64.1,64.38,0
1973/10/30,64.3,64.5,64.2,64.48,0
1973/10/31,65,65.2,64.9,65.05,0
1973/11/01,65.4,65.48,61.51,65.44,0
1973/11/02,65.4,65.4,64.5,64.75,0
1973/11/05,65.2,65.4,65,65.2,0
1973/11/07,65.5,65.75,65.35,65.5,0
1973/11/08,65.6,65.7,65.45,65.7,0
1973/11/09,65.8,65.8,65.5,65.7,0
1973/11/12,66,66.15,65.7,66.1,0
1973/11/13,65.96,66,65.7,65.7,0
1973/11/14,65.5,65.5,64.05,64.13,0
1973/11/15,64,64.5,63.75,64.45,0
1973/11/16,64.7,64.8,64.5,64.7,0
1973/11/19,65,65.25,64.85,65.03,0
1973/11/20,65.1,65.1,64,64,0
1973/11/21,64,64.3,63.75,63.81,0
1973/11/23,63.8,64.25,63.75,64.1,0
1973/11/26,63.75,63.8,62.7,62.75,0
1973/11/27,62.6,63,61.95,62.1,0
1973/11/28,61.75,62.5,61.75,61.9,0
1973/11/29,66.6,66.65,66.16,66.5,0
1973/11/30,66.6,66.6,66,66.05,0
1973/12/03,65.85,66.4,65.7,66.18,0
1973/12/04,66.45,67,66.3,66.45,0
1973/12/05,66.75,66.85,66.45,66.55,0
1973/12/06,66.65,66.65,66.15,66.4,0
1973/12/07,66.75,67.4,66.7,67.18,0
1973/12/10,67.5,68.5,67.45,68.5,0
1973/12/11,67.8,67.8,67.25,67.35,0
1973/12/12,67.1,67.5,67.1,67.39,0
1973/12/13,67.85,68.25,66.35,66.98,0
1973/12/14,66,66.8,65.9,66.7,0
1973/12/17,66.35,67.25,66.3,66.88,0
1973/12/18,67,67.2,66.9,66.93,0
1973/12/19,66.8,67.3,66.8,67.2,0
1973/12/20,67.45,67.45,67.2,67.28,0
1973/12/21,67.3,67.6,67.3,67.33,0
1973/12/26,67.8,68.15,67.3,67.63,0
1973/12/27,67.56,68.8,67,67.4,0
1973/12/28,67.2,67.2,66.55,67.05,0
1973/12/31,67.4,67.49,67.28,67.4,0
1974/01/02,67.64,69.4,67.35,68.9,0
1974/01/03,68.8,69.55,68.75,68.8,0
1974/01/04,68.5,68.6,68.05,68.4,0
1974/01/07,68.75,70.1,68.6,69.78,0
1974/01/08,69.8,70,69,69.2,0
1974/01/09,69.4,70,68.7,69.03,0
1974/01/10,69.3,69.7,69.3,69.58,0
1974/01/11,69.6,71,69.4,70.85,0
1974/01/14,71.55,72.85,71.15,72.85,0
1974/01/15,73,73.15,71.6,71.95,0
1974/01/16,71.75,72.5,70.9,72.38,0
1974/01/17,72,73,71.7,71.9,0
1974/01/18,71.2,72.5,71.2,71.8,0
1974/01/21,72.5,73.8,72.5,73.8,0
1974/01/22,73.25,73.6,72.8,73.1,0
1974/01/23,72.1,72.97,72,72.25,0
1974/01/24,72.6,74.25,72.3,74.05,0
1974/01/25,75.5,76,74.51,74.85,0
1974/01/28,75,75.25,73.9,74.25,0
1974/01/29,73.6,75,73.4,73.73,0
1974/01/30,73.5,74.45,73.15,73.28,0
1974/01/31,72.9,73.55,72.6,72.65,0
1974/02/01,72.95,73.75,72.8,73.33,0
1974/02/04,74.1,75.33,74.1,75.33,0
1974/02/05,76.1,76.55,75.35,75.5,0
1974/02/06,75,75.1,73.9,74.05,0
1974/02/07,75.4,75.45,74.7,75,0
1974/02/08,75.6,76.8,75.6,76.8,0
1974/02/11,77.8,78.8,77.8,78.8,0
1974/02/13,79,79.2,76.8,76.8,0
1974/02/14,76.3,77.6,76.1,77.3,0
1974/02/15,79,79.1,78,78,0
1974/02/19,76.85,77.4,76,76,0
1974/02/20,75.6,77.47,74,74.25,0
1974/02/21,75.25,76.25,75.25,76.25,0
1974/02/22,77.5,77.9,75.2,75.48,0
1974/02/25,80,80.2,77.41,77.61,0
1974/02/26,77.7,79,77,78.5,0
1974/02/27,78,78.4,76.5,76.5,0
1974/02/28,74.5,74.5,74.5,74.5,0
1974/03/01,73,74,72.5,73.7,0
1974/03/04,74.4,74.7,71.7,71.81,0
1974/03/05,70.6,71,69.81,70.25,0
1974/03/06,70.25,72.2,70.25,71.9,0
1974/03/07,73,73.4,72,72,0
1974/03/08,72.25,72.6,71.3,72.48,0
1974/03/11,71.99,72.75,71.7,72.08,0
1974/03/12,71.75,72.9,71.65,72.08,0
1974/03/13,71.9,72.9,71.9,72.33,0
1974/03/14,73.4,74.2,73.25,73.93,0
1974/03/15,73.9,73.95,72.8,73.63,0
1974/03/18,74.2,74.45,73.85,74.33,0
1974/03/19,74.8,74.8,72.9,73.18,0
1974/03/20,73.6,74.75,72.65,74.53,0
1974/03/21,76,76.53,75.45,76.53,0
1974/03/22,76.75,76.9,75.3,75.68,0
1974/03/25,75.4,75.5,73.68,73.68,0
1974/03/26,72.1,72.5,71.68,72,0
1974/03/27,73,73.5,72.6,73.4,0
1974/03/28,73.3,73.6,72.8,73.15,0
1974/03/29,73.75,75.1,73.6,74.9,0
1974/04/01,75.5,75.5,72.9,73.05,0
1974/04/02,72.75,74.25,72.75,73.65,0
1974/04/03,73.3,74.15,72.85,73.4,0
1974/04/04,73.5,74.4,73.4,74.25,0
1974/04/05,74.3,74.3,72.6,72.6,0
1974/04/08,71.2,71.35,70.6,70.8,0
1974/04/09,71,71.6,71,71.2,0
1974/04/10,71.9,72.1,71.6,71.6,0
1974/04/11,71.4,71.7,71.15,71.4,0
1974/04/15,71.65,71.65,71,71,0
1974/04/16,70.6,70.6,69,69,0
1974/04/17,68.9,70.2,68.9,69.93,0
1974/04/18,70,71,68.9,70.7,0
1974/04/19,70.8,71.6,70.5,71.48,0
1974/04/22,71.6,72.35,71.6,71.9,0
1974/04/23,71.5,71.5,70,70.4,0
1974/04/24,69.6,70.25,69,69.85,0
1974/04/25,70,70.5,69,69.08,0
1974/04/26,68,69.45,67.4,69.38,0
1974/04/29,73.5,73.9,73.1,73.2,0
1974/04/30,73,73.3,72.5,73.15,0
1974/05/01,73.2,74.6,73.1,74.55,0
1974/05/02,75.5,75.55,74.25,74.4,0
1974/05/03,74.4,74.5,73.4,74.15,0
1974/05/06,73.9,73.95,72.15,72.15,0
1974/05/07,71.3,73.2,70.8,72.85,0
1974/05/08,73.6,73.95,73.11,73.56,0
1974/05/09,74.5,75,74.3,74.58,0
1974/05/10,74.5,75.6,74.1,74.63,0
1974/05/13,73.5,73.5,72.63,73.38,0
1974/05/14,74,74.59,73,73.25,0
1974/05/15,71.25,72,71.25,71.25,0
1974/05/16,70.9,72.95,70.9,72.93,0
1974/05/17,73.5,74.25,72.5,73.55,0
1974/05/20,73.6,73.6,72.7,72.78,0
1974/05/21,72.15,73.3,72.1,73.28,0
1974/05/22,73.5,73.7,73,73.1,0
1974/05/23,72.9,72.9,71.2,71.38,0
1974/05/24,71.4,72.5,71.3,72.43,0
1974/05/28,72.1,72.4,71.25,71.65,0
1974/05/29,71.1,72.65,70.65,72.55,0
1974/05/30,72.8,72.95,72.25,72.63,0
1974/05/31,72.5,73.35,72,73.13,0
1974/06/03,72.6,73.55,72.3,73.55,0
1974/06/04,73.25,73.7,73,73.25,0
1974/06/05,73.65,74.05,73,73.93,0
1974/06/06,74,74.57,73.85,74.28,0
1974/06/07,74.5,74.6,74.15,74.35,0
1974/06/10,74.6,75.1,73.4,75.05,0
1974/06/11,74.95,74.95,74.4,74.78,0
1974/06/12,74.3,74.9,74.3,74.75,0
1974/06/13,74.8,74.85,74.55,74.8,0
1974/06/14,75,75.25,74.9,74.95,0
1974/06/17,74.7,74.8,73.5,73.7,0
1974/06/18,73.4,73.5,71.7,71.7,0
1974/06/19,71.5,73.25,71.25,73.18,0
1974/06/20,73.2,73.5,72.5,72.6,0
1974/06/21,73,73.35,70.75,70.98,0
1974/06/24,68.98,70,68.98,68.98,0
1974/06/25,68.25,68.7,66.98,66.98,0
1974/06/26,66.4,68.4,66.1,68.1,0
1974/06/27,68.5,68.75,67.1,67.3,0
1974/06/28,67,69.3,67,69.1,0
1974/07/01,70.65,70.95,70.2,70.75,0
1974/07/02,70.25,71.25,70,71.1,0
1974/07/03,71.46,72.35,71.46,72.3,0
1974/07/05,72.25,72.3,71.55,71.8,0
1974/07/08,71.3,71.3,69.8,69.8,0
1974/07/09,67.8,69.1,67.8,69,0
1974/07/10,69.1,70,68.35,69.9,0
1974/07/11,70.75,71.9,70.75,71.9,0
1974/07/12,72.8,73.45,72.45,72.8,0
1974/07/15,72.8,73.1,71.8,72.6,0
1974/07/16,73,73.3,72.8,72.92,0
1974/07/17,73,73.3,72.55,73.28,0
1974/07/18,73.15,73.15,71.28,71.28,0
1974/07/19,71,71,69.28,69.28,0
1974/07/22,68.5,69.8,68.4,69.5,0
1974/07/23,69.8,70.3,67.95,68,0
1974/07/24,68.25,70,68.25,69.85,0
1974/07/25,70.45,70.5,68.75,69,0
1974/07/26,69.4,69.95,69.3,69.7,0
1974/07/29,70,70.1,69,69.08,0
1974/07/30,69.1,69.85,68.9,69.8,0
1974/07/31,69.95,70.2,69.2,69.25,0
1974/08/01,67.5,67.5,67.25,67.25,0
1974/08/02,66.7,67.2,65.85,66.35,0
1974/08/05,66.25,66.4,64.6,64.9,0
1974/08/06,64.8,65.1,64.3,64.6,0
1974/08/07,64.2,64.2,62.6,62.6,0
1974/08/08,62.1,62.5,60.6,62.5,0
1974/08/09,63.1,63.1,61.65,62.43,0
1974/08/12,62,62,60.43,60.47,0
1974/08/13,61.1,62.47,61.1,62.4,0
1974/08/14,62.5,62.6,60.4,60.4,0
1974/08/15,58.4,60,58.4,59.9,0
1974/08/16,60.75,61,58.8,59.35,0
1974/08/19,58.8,58.8,57.7,58.2,0
1974/08/20,58.6,60.2,58.6,60.2,0
1974/08/21,61.2,62.2,60.5,62.2,0
1974/08/22,61.8,64.2,61.2,64.2,0
1974/08/23,66.2,66.2,66.1,66.15,0
1974/08/26,62.75,64.48,62,64.48,0
1974/08/27,65.4,65.5,62.6,64.1,0
1974/08/28,63,63.1,62.1,62.1,0
1974/08/29,62.1,62.1,61.3,61.35,0
1974/08/30,61.5,61.7,59.35,59.35,0
1974/09/03,57.35,57.35,57.35,57.35,0
1974/09/04,55.4,56.5,55.35,56.45,0
1974/09/05,56.9,57.05,55.6,55.6,0
1974/09/06,55.4,56.55,55.3,56.15,0
1974/09/09,56.25,56.7,55.8,56.25,0
1974/09/10,56.25,56.9,56.15,56.5,0
1974/09/11,56.1,56.25,54.5,54.8,0
1974/09/12,54.5,55.3,53,53.8,0
1974/09/13,53,53.25,51.8,51.8,0
1974/09/16,49.8,50.35,49.8,50.17,0
1974/09/17,50.95,52.17,50.9,52.17,0
1974/09/18,52.5,52.5,50.17,50.45,0
1974/09/19,50.05,52.45,49.9,52.45,0
1974/09/20,52.1,53.1,51.4,52.15,0
1974/09/23,54.15,54.15,54.15,54.15,0
1974/09/24,54.3,55,52.9,54.9,0
1974/09/25,55.9,56.9,55.89,56.9,0
1974/09/26,54.9,56.8,54.9,56.15,0
1974/09/27,56.5,57.25,56,56.2,0
1974/09/30,55.75,55.75,54.2,54.2,0
1974/10/01,54.75,55.25,54.4,54.45,0
1974/10/02,54.45,55.75,54.45,55.25,0
1974/10/03,56.2,56.9,56.1,56.5,0
1974/10/04,55.9,56.5,55.7,56.4,0
1974/10/07,55.9,56.5,55.5,56.5,0
1974/10/08,57,58.5,57,58.5,0
1974/10/09,59,59.2,57.8,58.05,0
1974/10/10,57.5,58.9,57.1,58.45,0
1974/10/11,58.7,58.9,58.11,58.44,0
1974/10/15,59.5,59.7,59,59.62,0
1974/10/16,60.6,60.6,59,59.32,0
1974/10/17,58.5,58.8,58.2,58.58,0
