Date,Open,High,Low,Close,Vol
2000/06/09,0.4697,0.4697,0.4697,0.4697,0
2001/01/03,0.445,0.447,0.441,0.445,7
2001/01/05,0.445,0.4535,0.445,0.4535,2
2001/01/09,0.445,0.4535,0.445,0.448,0
2001/01/12,0.445,0.451,0.445,0.445,0
2001/01/19,0.445,0.4475,0.445,0.4475,0
2001/01/26,0.445,0.445,0.436,0.4365,0
2001/02/01,0.4365,0.4475,0.4365,0.4475,0
2001/02/02,0.4475,0.4475,0.445,0.445,0
2001/02/09,0.445,0.445,0.435,0.4365,0
2001/02/16,0.4275,0.4275,0.4275,0.4275,1
2001/02/21,0.4275,0.428,0.4257,0.428,0
2001/02/23,0.4275,0.4345,0.4275,0.4345,0
2001/02/28,0.4275,0.432,0.4275,0.4305,0
2001/03/01,0.4275,0.4325,0.4275,0.4287,0
2001/03/02,0.4275,0.4347,0.4275,0.4347,0
2001/03/08,0.42,0.42,0.42,0.42,2
2001/03/09,0.42,0.421,0.42,0.42,160
2001/03/12,0.42,0.421,0.418,0.418,117
2001/03/13,0.42,0.421,0.416,0.416,40
2001/03/14,0.4165,0.4165,0.415,0.4165,11
2001/03/15,0.41,0.41,0.41,0.41,44
2001/03/16,0.4095,0.4125,0.4095,0.4095,18
2001/03/19,0.4175,0.4185,0.4175,0.4175,6
2001/03/20,0.4175,0.418,0.416,0.418,21
2001/03/21,0.4175,0.418,0.414,0.414,406
2001/03/22,0.4115,0.4115,0.4115,0.4115,1
2001/03/23,0.4115,0.4145,0.4115,0.4115,30
2001/03/26,0.4115,0.415,0.4115,0.415,30
2001/03/27,0.411,0.4115,0.411,0.411,15
2001/03/28,0.409,0.409,0.409,0.409,102
2001/03/29,0.409,0.41,0.4075,0.4075,2
2001/03/30,0.409,0.41,0.404,0.4075,2
2001/04/02,0.397,0.3978,0.397,0.3978,0
2001/04/03,0.397,0.4035,0.397,0.4035,0
2001/04/04,0.397,0.405,0.397,0.405,0
2001/04/05,0.397,0.404,0.397,0.404,0
2001/04/06,0.397,0.405,0.397,0.405,0
2001/04/09,0.397,0.405,0.397,0.405,0
2001/04/10,0.397,0.4015,0.397,0.4015,0
2001/04/12,0.397,0.4066,0.397,0.4066,0
2001/04/16,0.397,0.4095,0.397,0.4095,0
2001/04/17,0.397,0.4015,0.397,0.4015,0
2001/04/18,0.397,0.403,0.397,0.403,0
2001/04/19,0.397,0.408,0.397,0.408,0
2001/04/20,0.397,0.413,0.397,0.413,0
2001/04/23,0.397,0.41,0.397,0.41,0
2001/04/24,0.397,0.4075,0.397,0.4075,0
2001/04/25,0.397,0.4085,0.397,0.4085,0
2001/04/26,0.397,0.41,0.397,0.41,0
2001/04/27,0.397,0.411,0.397,0.411,0
2001/04/30,0.397,0.412,0.397,0.412,0
2001/05/01,0.397,0.418,0.397,0.418,0
2001/05/02,0.397,0.4225,0.397,0.4225,0
2001/05/03,0.397,0.42,0.397,0.42,0
2001/05/04,0.397,0.421,0.397,0.421,0
2001/05/07,0.397,0.421,0.397,0.421,0
2001/05/08,0.397,0.4195,0.397,0.4195,0
2001/05/09,0.397,0.426,0.397,0.426,0
2001/05/10,0.397,0.426,0.397,0.426,0
2001/05/11,0.397,0.4225,0.397,0.4225,0
2001/05/14,0.397,0.4185,0.397,0.4185,0
2001/05/15,0.397,0.4175,0.397,0.4175,0
2001/05/16,0.397,0.4205,0.397,0.4205,0
2001/05/17,0.397,0.426,0.397,0.426,0
2001/05/22,0.397,0.424,0.397,0.424,0
2001/05/23,0.424,0.424,0.42,0.42,0
2001/05/24,0.424,0.424,0.422,0.422,0
2001/05/25,0.424,0.4245,0.424,0.4245,0
2001/05/29,0.424,0.424,0.4215,0.4215,0
2001/05/30,0.424,0.424,0.417,0.417,0
2001/05/31,0.424,0.424,0.408,0.408,0
2001/06/01,0.4105,0.4105,0.4105,0.4105,0
2001/06/04,0.409,0.409,0.409,0.409,0
2001/06/05,0.409,0.409,0.409,0.409,0
2001/06/06,0.413,0.413,0.413,0.413,0
2001/06/07,0.4165,0.4165,0.4165,0.4165,0
2001/06/08,0.419,0.419,0.419,0.419,0
2001/06/11,0.4193,0.4193,0.4193,0.4193,0
2001/06/12,0.4193,0.4193,0.4193,0.4193,0
2001/06/13,0.4228,0.4228,0.4228,0.4228,0
2001/06/14,0.413,0.413,0.413,0.413,0
2001/06/15,0.414,0.414,0.414,0.414,0
2001/06/18,0.414,0.414,0.414,0.414,0
2001/06/19,0.413,0.413,0.413,0.413,0
2001/06/20,0.4105,0.4105,0.4105,0.4105,0
2001/06/21,0.411,0.411,0.411,0.411,0
2001/06/22,0.411,0.411,0.411,0.411,0
2001/06/25,0.411,0.411,0.411,0.411,0
2001/06/26,0.415,0.415,0.415,0.415,0
2001/06/27,0.4148,0.415,0.4148,0.415,0
2001/06/28,0.4065,0.4065,0.4065,0.4065,0
2001/06/29,0.403,0.403,0.403,0.403,0
2001/07/02,0.403,0.4035,0.403,0.4035,0
2001/07/03,0.406,0.406,0.406,0.406,0
2001/07/05,0.4035,0.4035,0.4035,0.4035,0
2001/07/06,0.4035,0.4035,0.4035,0.4035,0
2001/07/09,0.4055,0.4055,0.4055,0.4055,0
2001/07/10,0.4055,0.4055,0.4055,0.4055,0
2001/07/11,0.4044,0.4044,0.4044,0.4044,0
2001/07/12,0.404,0.404,0.404,0.404,0
2001/07/13,0.406,0.406,0.406,0.406,0
2001/07/16,0.406,0.406,0.406,0.406,0
2001/07/17,0.406,0.406,0.406,0.406,0
2001/07/18,0.41,0.41,0.41,0.41,0
2001/07/19,0.4135,0.4135,0.4135,0.4135,0
2001/07/20,0.408,0.408,0.408,0.408,0
2001/07/23,0.4088,0.4088,0.408,0.408,0
2001/07/24,0.408,0.408,0.408,0.408,0
2001/07/25,0.4095,0.4095,0.4095,0.4095,0
2001/07/26,0.41,0.41,0.41,0.41,0
2001/07/27,0.41,0.41,0.41,0.41,0
2001/07/30,0.41,0.41,0.41,0.41,0
2001/07/31,0.41,0.41,0.41,0.41,0
2001/08/01,0.41,0.4155,0.41,0.4155,0
2001/08/02,0.4155,0.4155,0.4155,0.4155,0
2001/08/03,0.418,0.418,0.418,0.418,0
2001/08/06,0.418,0.418,0.418,0.418,0
2001/08/07,0.418,0.418,0.418,0.418,0
2001/08/08,0.422,0.422,0.422,0.422,0
2001/08/09,0.422,0.422,0.422,0.422,0
2001/08/10,0.425,0.425,0.425,0.425,0
2001/08/13,0.427,0.427,0.427,0.427,0
2001/08/14,0.429,0.429,0.429,0.429,0
2001/08/16,0.432,0.432,0.432,0.432,0
2001/08/17,0.439,0.439,0.439,0.439,0
2001/08/22,0.44,0.44,0.44,0.44,0
2001/08/23,0.44,0.44,0.44,0.44,0
2001/08/27,0.4384,0.4384,0.4384,0.4384,0
2001/08/28,0.438,0.438,0.438,0.438,0
2001/08/29,0.4395,0.4395,0.4395,0.4395,0
2001/08/30,0.441,0.441,0.441,0.441,0
2001/08/31,0.437,0.437,0.437,0.437,0
2001/09/04,0.4315,0.4315,0.4315,0.4315,0
2001/09/05,0.433,0.433,0.433,0.433,0
2001/09/06,0.4345,0.4345,0.4345,0.4345,0
2001/09/07,0.436,0.436,0.436,0.436,0
2001/09/10,0.4314,0.4314,0.4314,0.4314,0
