Date,Open,High,Low,Close,Vol
1990/04/03,1.595,1.68,1.59,1.65,0
1990/04/04,1.63,1.65,1.595,1.635,0
1990/04/05,1.625,1.65,1.625,1.635,0
1990/04/06,1.64,1.645,1.625,1.635,0
1990/04/09,1.62,1.645,1.615,1.645,0
1990/04/10,1.635,1.635,1.63,1.63,0
1990/04/11,1.63,1.63,1.62,1.62,0
1990/04/12,1.625,1.635,1.623,1.635,0
1990/04/16,1.63,1.64,1.63,1.635,0
1990/04/17,1.64,1.655,1.64,1.645,0
1990/04/18,1.64,1.653,1.64,1.645,0
1990/04/19,1.648,1.648,1.635,1.645,0
1990/04/20,1.645,1.645,1.59,1.6,0
1990/04/23,1.594,1.61,1.594,1.604,0
1990/04/24,1.603,1.603,1.6,1.602,0
1990/04/25,1.6,1.615,1.6,1.605,0
1990/04/26,1.61,1.615,1.61,1.615,0
1990/04/27,1.615,1.615,1.615,1.615,0
1990/04/30,1.625,1.63,1.625,1.63,0
1990/05/01,1.63,1.635,1.625,1.627,0
1990/05/02,1.627,1.635,1.62,1.634,0
1990/05/03,1.625,1.63,1.625,1.63,0
1990/05/04,1.622,1.625,1.62,1.625,0
1990/05/07,1.63,1.635,1.625,1.63,0
1990/05/08,1.64,1.64,1.625,1.63,0
1990/05/09,1.627,1.64,1.627,1.634,0
1990/05/10,1.639,1.639,1.63,1.632,0
1990/05/11,1.628,1.633,1.625,1.63,0
1990/05/14,1.62,1.62,1.615,1.62,0
1990/05/15,1.618,1.618,1.612,1.617,0
1990/05/16,1.616,1.63,1.616,1.63,0
1990/05/17,1.659,1.663,1.659,1.663,0
1990/05/18,1.658,1.668,1.652,1.668,0
1990/05/21,1.66,1.663,1.657,1.657,0
1990/05/22,1.65,1.66,1.641,1.655,0
1990/05/23,1.646,1.646,1.635,1.646,0
1990/05/24,1.646,1.648,1.645,1.645,0
1990/05/25,1.64,1.645,1.64,1.64,0
1990/05/29,1.635,1.638,1.635,1.635,0
1990/05/30,1.645,1.645,1.64,1.64,0
1990/05/31,1.64,1.65,1.64,1.645,0
1990/06/01,1.64,1.641,1.64,1.64,0
1990/06/04,1.632,1.645,1.63,1.64,0
1990/06/05,1.63,1.636,1.626,1.626,0
1990/06/06,1.617,1.622,1.617,1.62,0
1990/06/07,1.63,1.64,1.628,1.632,0
1990/06/08,1.627,1.63,1.62,1.63,0
1990/06/11,1.625,1.625,1.615,1.617,0
1990/06/12,1.615,1.615,1.6,1.605,0
1990/06/13,1.595,1.595,1.575,1.585,0
1990/06/14,1.589,1.589,1.582,1.585,0
1990/06/15,1.578,1.585,1.578,1.58,0
1990/06/18,1.618,1.618,1.605,1.608,0
1990/06/19,1.6,1.6,1.595,1.595,0
1990/06/20,1.585,1.585,1.578,1.582,0
1990/06/21,1.583,1.583,1.554,1.56,0
1990/06/22,1.545,1.555,1.543,1.551,0
1990/06/25,1.545,1.55,1.545,1.547,0
1990/06/26,1.542,1.548,1.542,1.542,0
1990/06/27,1.537,1.537,1.528,1.53,0
1990/06/28,1.527,1.544,1.527,1.538,0
1990/06/29,1.535,1.55,1.535,1.546,0
1990/07/02,1.55,1.55,1.544,1.544,0
1990/07/03,1.541,1.55,1.541,1.55,0
1990/07/05,1.54,1.544,1.535,1.537,0
1990/07/06,1.535,1.535,1.52,1.52,0
1990/07/09,1.51,1.51,1.494,1.503,0
1990/07/10,1.5,1.51,1.5,1.508,0
1990/07/11,1.515,1.524,1.515,1.52,0
1990/07/12,1.52,1.523,1.515,1.522,0
1990/07/13,1.524,1.545,1.524,1.53,0
1990/07/16,1.585,1.605,1.585,1.595,0
1990/07/17,1.572,1.585,1.562,1.585,0
1990/07/18,1.579,1.62,1.575,1.62,0
1990/07/19,1.6,1.635,1.6,1.605,0
1990/07/20,1.6,1.6,1.57,1.58,0
1990/07/23,1.57,1.573,1.56,1.562,0
1990/07/24,1.56,1.56,1.543,1.543,0
1990/07/25,1.53,1.53,1.51,1.51,0
1990/07/26,1.505,1.515,1.495,1.51,0
1990/07/27,1.514,1.525,1.505,1.522,0
1990/07/30,1.515,1.52,1.51,1.518,0
1990/07/31,1.513,1.523,1.5,1.501,0
1990/08/01,1.499,1.5,1.485,1.492,0
1990/08/02,1.527,1.545,1.515,1.53,0
1990/08/03,1.54,1.63,1.54,1.615,0
1990/08/06,1.642,1.715,1.63,1.705,0
1990/08/07,1.62,1.65,1.605,1.605,0
1990/08/08,1.6,1.6,1.54,1.565,0
1990/08/09,1.55,1.58,1.55,1.565,0
1990/08/10,1.58,1.6,1.58,1.58,0
1990/08/13,1.595,1.595,1.56,1.575,0
1990/08/14,1.58,1.581,1.575,1.575,0
1990/08/15,1.55,1.551,1.538,1.54,0
1990/08/16,1.54,1.55,1.54,1.545,0
1990/08/17,1.56,1.58,1.557,1.565,0
1990/08/20,1.83,1.835,1.825,1.835,0
1990/08/21,1.845,1.86,1.845,1.853,0
1990/08/22,1.85,1.85,1.84,1.85,0
1990/08/23,1.885,1.91,1.87,1.875,0
1990/08/24,1.86,1.86,1.84,1.852,0
1990/08/27,1.82,1.825,1.805,1.805,0
1990/08/28,1.8,1.81,1.79,1.8,0
1990/08/29,1.786,1.787,1.77,1.775,0
1990/08/30,1.785,1.815,1.785,1.815,0
1990/08/31,1.82,1.83,1.81,1.81,0
1990/09/04,1.83,1.84,1.825,1.83,0
1990/09/05,1.835,1.845,1.82,1.835,0
1990/09/06,1.845,1.855,1.845,1.845,0
1990/09/07,1.825,1.83,1.82,1.83,0
1990/09/10,1.805,1.82,1.8,1.82,0
1990/09/11,1.805,1.81,1.805,1.805,0
1990/09/12,1.805,1.815,1.8,1.805,0
1990/09/13,1.805,1.81,1.791,1.805,0
1990/09/14,1.815,1.82,1.805,1.805,0
1990/09/17,2.24,2.25,2.24,2.25,0
1990/09/18,2.24,2.25,2.23,2.25,0
1990/09/19,2.225,2.24,2.22,2.232,0
1990/09/20,2.238,2.25,2.238,2.246,0
1990/09/21,2.27,2.275,2.255,2.272,0
1990/09/24,2.281,2.35,2.281,2.34,0
1990/09/25,2.32,2.355,2.31,2.335,0
1990/09/26,2.3,2.38,2.3,2.365,0
1990/09/27,2.34,2.41,2.34,2.398,0
1990/09/28,2.4,2.49,2.4,2.49,0
1990/10/01,2.47,2.475,2.405,2.44,0
1990/10/02,2.39,2.425,2.34,2.355,0
1990/10/03,2.39,2.445,2.39,2.429,0
1990/10/04,2.41,2.49,2.41,2.468,0
1990/10/05,2.49,2.525,2.47,2.525,0
1990/10/08,2.515,2.55,2.515,2.55,0
