Date,Open,High,Low,Close,Vol
2004/02/17,10710,10710,10710,10710,0
2004/02/18,10760,10760,10760,10760,0
2004/02/19,10725,10725,10725,10725,0
2004/02/20,10790,10790,10790,10790,0
2004/02/23,10860,10860,10860,10860,0
2004/02/24,10660,10660,10660,10660,0
2004/02/25,10700,10780,10680,10740,0
2004/02/26,10820,10860,10790,10855,0
2004/02/27,11015,11170,11015,11080,0
2004/03/01,11320,11390,11290,11385,0
2004/03/02,11355,11425,11350,11380,0
2004/03/03,11400,11400,11290,11340,0
2004/03/04,11435,11495,11430,11495,0
2004/03/05,11530,11645,11460,11630,0
2004/03/08,11575,11580,11450,11450,0
2004/03/09,11540,11540,11455,11510,0
2004/03/10,11425,11425,11320,11320,0
2004/03/11,11220,11235,11055,11075,0
2004/03/12,11170,11290,11140,11280,0
2004/03/15,11240,11270,11170,11200,0
2004/03/16,11210,11235,11160,11215,0
2004/03/17,11400,11570,11400,11550,0
2004/03/18,11470,11470,11320,11430,0
2004/03/19,11400,11405,11315,11340,0
2004/03/22,11275,11275,11105,11115,0
2004/03/23,11225,11300,11175,11275,0
2004/03/24,11245,11390,11235,11390,0
2004/03/25,11515,11790,11500,11715,0
2004/03/26,11750,11880,11680,11830,0
2004/03/29,11755,11930,11755,11930,0
2004/03/30,11725,11780,11670,11760,0
2004/03/31,11745,11805,11725,11755,0
2004/04/01,11730,11825,11710,11790,0
2004/04/02,11860,12050,11860,12050,0
2004/04/05,11980,12100,11955,12080,0
2004/04/06,12060,12105,12025,12095,0
2004/04/07,12005,12050,11915,12000,0
2004/04/08,12130,12140,11995,12035,0
2004/04/12,12060,12205,12060,12175,0
2004/04/13,12180,12240,12030,12060,0
2004/04/14,12065,12105,11980,12080,0
2004/04/15,11875,11930,11730,11760,0
2004/04/16,11865,11940,11795,11940,0
2004/04/19,11745,11800,11725,11775,0
2004/04/20,11980,12040,11855,11880,0
2004/04/21,11875,12050,11875,12030,0
2004/04/22,12010,12190,11940,12160,0
2004/04/23,12110,12150,12100,12145,0
2004/04/26,12175,12200,12130,12130,0
2004/04/27,12150,12150,12055,12060,0
2004/04/28,12000,12000,11735,11735,0
2004/04/29,11785,11835,11630,11635,0
2004/04/30,11650,11735,11540,11565,0
2004/05/03,11565,11630,11520,11540,0
2004/05/04,11610,11725,11600,11630,0
2004/05/05,11650,11770,11615,11770,0
2004/05/06,11560,11570,11425,11515,0
2004/05/07,11470,11535,11370,11390,0
2004/05/10,10880,10920,10770,10815,0
2004/05/11,10840,10995,10840,10960,0
2004/05/12,10970,11075,10870,11075,0
2004/05/13,10860,10925,10820,10830,0
2004/05/14,10855,10860,10740,10770,0
2004/05/17,10430,10530,10415,10510,0
2004/05/18,10675,10735,10655,10705,0
2004/05/19,10960,11035,10875,10880,0
2004/05/20,10860,10925,10785,10870,0
2004/05/21,11005,11055,10960,11020,0
2004/05/24,11140,11190,11015,11030,0
2004/05/25,10970,11200,10920,11180,0
2004/05/26,11150,11200,11130,11160,0
2004/05/27,11215,11280,11175,11245,0
2004/05/28,11320,11340,11275,11300,0
2004/05/31,11235,11235,11175,11210,0
2004/06/01,11235,11310,11175,11300,0
2004/06/02,11265,11340,11230,11340,0
2004/06/03,11070,11150,11020,11030,0
2004/06/04,11040,11240,11040,11235,0
2004/06/07,11400,11530,11385,11490,0
2004/06/08,11475,11550,11460,11540,0
2004/06/09,11470,11470,11345,11355,0
2004/06/10,11540,11585,11530,11585,0
2004/06/11,11530,11595,11525,11595,0
2004/06/14,11465,11480,11400,11425,0
2004/06/15,11475,11550,11430,11520,0
2004/06/16,11615,11650,11575,11645,0
2004/06/17,11630,11630,11540,11540,0
2004/06/18,11440,11510,11440,11500,0
2004/06/21,11600,11650,11560,11560,0
2004/06/22,11550,11680,11520,11665,0
2004/06/23,11665,11720,11535,11720,0
2004/06/24,11740,11775,11715,11760,0
2004/06/25,11825,11830,11750,11760,0
2004/06/28,11855,11950,11845,11900,0
2004/06/29,11865,11930,11825,11925,0
2004/06/30,11900,11990,11895,11990,0
2004/07/01,11970,11975,11715,11715,0
2004/07/02,11755,11770,11650,11655,0
2004/07/05,11580,11605,11550,11605,0
2004/07/06,11580,11605,11355,11365,0
2004/07/07,11415,11460,11410,11450,0
2004/07/08,11300,11335,11230,11255,0
2004/07/09,11420,11435,11380,11430,0
2004/07/12,11545,11570,11410,11475,0
2004/07/13,11555,11730,11540,11725,0
2004/07/14,11700,11700,11360,11385,0
2004/07/15,11415,11430,11340,11340,0
2004/07/16,11330,11435,11310,11320,0
2004/07/19,11355,11415,11270,11305,0
2004/07/20,11310,11370,11220,11365,0
2004/07/21,11410,11460,11225,11225,0
2004/07/22,11295,11310,11150,11260,0
2004/07/23,11240,11240,11080,11095,0
2004/07/26,11160,11160,11080,11100,3953
2004/07/27,11070,11205,11065,11190,2340
2004/07/28,11250,11275,11135,11245,4281
2004/07/29,11165,11260,11155,11240,4383
2004/07/30,11265,11330,11240,11290,3420
2004/08/02,11190,11280,11185,11280,2407
2004/08/03,11200,11215,11110,11110,1908
2004/08/04,11125,11125,10985,11070,2890
2004/08/05,11075,11115,10910,10920,3025
2004/08/06,10985,11030,10720,10745,3668
2004/08/09,10900,10900,10805,10850,7679
2004/08/10,10930,11035,10930,10985,2584
2004/08/11,11005,11020,10930,11005,3256
2004/08/12,11045,11065,10905,10905,4179
2004/08/13,10810,10810,10700,10710,3559
2004/08/16,10655,10830,10655,10820,3565
2004/08/17,10730,10820,10710,10765,3873
2004/08/18,10720,10855,10685,10845,2817
2004/08/19,10895,10900,10820,10830,2984
2004/08/20,10895,11015,10835,10995,2444
2004/08/23,10925,11020,10920,10995,3600
2004/08/24,11035,11080,10955,10995,2797
2004/08/25,11075,11245,11065,11220,2909
2004/08/26,11130,11155,11110,11110,3963
2004/08/27,11180,11230,11165,11195,1599
2004/08/30,11170,11175,11130,11145,1789
2004/08/31,11085,11125,11040,11095,1438
2004/09/01,11145,11190,11110,11165,2953
2004/09/02,11125,11255,11125,11250,1843
2004/09/03,11050,11110,11030,11070,3192
2004/09/06,11240,11290,11240,11285,3192
2004/09/07,11240,11375,11240,11355,5929
2004/09/08,11340,11390,11250,11270,12664
2004/09/09,11160,11180,11120,11120,8192
2004/09/10,11135,11135,11030,11130,9930
2004/09/13,11225,11340,11225,11250,3745
2004/09/14,11280,11295,11230,11295,3756
2004/09/15,11170,11190,11070,11075,1045
2004/09/16,11120,11150,11080,11135,3642
2004/09/17,11075,11130,11060,11095,1622
2004/09/20,11100,11140,11020,11125,2118
2004/09/21,11075,11140,11075,11135,3348
2004/09/22,11015,11040,10910,10925,2210
2004/09/23,10930,10965,10885,10885,4777
2004/09/24,10865,10930,10835,10890,2495
2004/09/27,10860,10875,10815,10830,2530
2004/09/28,10815,10915,10805,10885,2237
2004/09/29,10825,10890,10815,10875,2292
2004/09/30,10825,10915,10825,10830,4156
2004/10/01,10970,11130,10960,11125,3376
2004/10/04,11280,11380,11280,11320,4037
2004/10/05,11270,11320,11235,11240,6019
2004/10/06,11365,11430,11320,11410,3384
2004/10/07,11360,11390,11295,11315,4164
2004/10/08,11300,11380,11235,11250,4099
2004/10/11,11275,11310,11270,11300,4325
2004/10/12,11215,11215,11125,11175,1650
2004/10/13,11175,11295,11100,11105,5271
2004/10/14,11075,11090,10940,10945,3649
2004/10/15,10965,11040,10965,10995,4725
2004/10/18,10970,11065,10950,11055,3827
2004/10/20,10875,10900,10805,10885,4259
2004/10/21,10815,10900,10790,10885,4730
2004/10/22,10975,10975,10740,10760,4089
2004/10/25,10640,10705,10620,10665,2258
2004/10/26,10660,10755,10660,10745,3494
2004/10/27,10695,10870,10685,10860,5129
2004/10/28,10855,10860,10745,10810,7939
2004/10/29,10740,10785,10715,10735,4861
2004/11/01,10735,10820,10725,10785,2374
2004/11/02,10915,10970,10870,10925,2637
2004/11/03,10920,11060,10870,11015,5691
