Date,Open,High,Low,Close,Vol
1999/06/30,2293.5,2348.5,2268.5,2325.5,2785
1999/07/01,2326,2357,2295,2347.5,2456
1999/07/06,2383.5,2410,2376.5,2396,1247
1999/07/07,2365,2367.5,2341,2352,1247
1999/07/08,2368,2405,2350.5,2388,3440
1999/07/09,2395,2405.5,2384,2398,3604
1999/07/12,2423,2437,2389,2422,2126
1999/07/13,2394,2399,2372.5,2382,3650
1999/07/14,2397.5,2426.5,2382,2424,3552
1999/07/15,2434,2453.5,2428.5,2448,3067
1999/07/16,2448,2489,2446.5,2484,2875
1999/07/19,2475.5,2489,2442,2449.5,1798
1999/07/20,2402,2406,2358.5,2369.5,2699
1999/07/21,2356.5,2387.5,2342,2353,3934
1999/07/22,2316,2324.5,2299,2312,3047
1999/07/23,2325,2333,2283.5,2303,3224
1999/07/26,2281,2302,2265.5,2268,2485
1999/07/27,2276,2328.5,2274,2325.5,2851
1999/07/28,2319.5,2353,2292,2334.5,3644
1999/07/29,2326,2329,2269,2284.5,3190
1999/07/30,2304,2327,2282,2294,3528
1999/08/02,2266.5,2325,2260.5,2310.5,2712
1999/08/03,2282,2302.5,2224,2261.5,3088
1999/08/04,2262,2273.5,2233,2247,4979
1999/08/05,2207,2241.5,2164.5,2226,3463
1999/08/06,2251,2273.5,2215,2224.5,4686
1999/08/09,2236,2244,2206,2227,3736
1999/08/10,2142,2167,2132,2159,4108
1999/08/11,2197,2230,2184.5,2226.5,5955
1999/08/12,2248.5,2272.5,2234,2238,3989
1999/08/13,2217.5,2302.5,2214,2297.5,4343
1999/08/16,2318,2348,2307,2313,2947
1999/08/17,2330,2359,2289,2334.5,3878
1999/08/18,2350,2363.5,2320,2323.5,3717
1999/08/19,2322,2326.5,2278,2302,3717
1999/08/20,2295.5,2313.5,2282.5,2308,4291
1999/08/23,2337,2372,2335.5,2363,1928
1999/08/24,2388,2444.5,2379.5,2405,2778
1999/08/25,2415,2476.5,2406.5,2470.5,3037
1999/08/26,2470,2477.5,2425,2428,3321
1999/08/27,2425,2449,2399.5,2405,3282
1999/08/30,2405,2421,2363,2374,3161
1999/08/31,2379,2409,2332.5,2395.5,4640
1999/09/01,2395,2432,2389,2414.5,4280
1999/09/02,2413.5,2416.5,2362,2401.5,3404
1999/09/03,2403.5,2513,2396,2513,2633
