Date,Open,High,Low,Close,Vol
1985/10/03,107,107.2,107,107.2,0
1985/10/04,107,107,106.55,106.55,0
1985/10/07,104.65,104.65,104.65,104.65,0
1985/10/08,105.3,105.3,105.3,105.3,0
1985/10/09,105.6,105.6,105.6,105.6,0
1985/10/10,103.6,103.6,103.6,103.6,0
1985/10/11,103.9,103.9,103.9,103.9,0
1985/10/14,104.5,104.5,104.5,104.5,0
1985/10/15,105.6,105.6,105.6,105.6,0
1985/10/16,104,104.35,104,104.35,0
1985/10/17,106.45,106.45,106.45,106.45,0
1985/10/18,107.4,107.4,107.4,107.4,0
1985/10/21,107.25,107.25,107.25,107.25,0
1985/10/22,107.2,107.2,107.2,107.2,0
1985/10/23,107.25,108.1,107.25,108.1,0
1985/10/24,107,107.5,107,107.5,0
1985/10/25,109.05,109.05,109.05,109.05,0
1985/10/28,107.25,108.55,107.25,108.55,0
1985/10/29,109.45,109.45,109.45,109.45,0
1985/10/30,106.95,106.95,106.95,106.95,0
1985/10/31,104.25,104.25,104.25,104.25,0
1985/11/01,105,105,104.45,104.45,0
1985/11/04,104.5,104.5,104.5,104.5,0
1985/11/05,104,104,104,104,0
1985/11/06,104.7,104.7,104.7,104.7,0
1985/11/07,99.75,99.75,99.75,99.75,0
1985/11/08,100.5,100.5,100.5,100.5,0
1985/11/11,102,102,102,102,0
1985/11/12,105,106.1,105,106.1,0
1985/11/13,106.6,106.6,106.6,106.6,0
1985/11/14,107,107,106.8,106.8,0
1985/11/15,105.8,105.8,105.8,105.8,0
1985/11/18,105,106.1,105,106.1,0
1985/11/19,105.25,105.25,105.25,105.25,0
1985/11/20,105.7,105.7,105.7,105.7,0
1985/11/21,105.25,105.25,105.1,105.1,0
1985/11/22,106.55,106.55,106.55,106.55,0
1985/11/25,110.5,111.1,110.5,111.1,0
1985/11/26,108.6,108.6,108.6,108.6,0
1985/11/27,107,107,106,106,0
1985/11/29,106.25,106.87,105.75,106.37,0
1985/12/02,105.5,106.75,105.5,106.75,0
1985/12/03,107.5,107.5,106.5,106.6,0
1985/12/04,107,107,107,107,0
1985/12/05,106,106,105.25,105.6,0
1985/12/06,105.75,105.75,105,105,0
1985/12/09,104.5,104.5,100.3,100.3,0
1985/12/10,98.5,99,97.3,97.3,0
1985/12/11,94.5,95.85,94.25,95.85,0
1985/12/12,98,99,98,98.2,0
1985/12/13,97.95,97.95,97.95,97.95,0
1985/12/16,99.9,100.15,99.9,100.15,0
1985/12/17,98.55,98.55,98.55,98.55,0
1985/12/18,97.5,97.5,97.5,97.5,0
1985/12/19,97.8,97.8,97.8,97.8,0
1985/12/20,98.1,98.1,98.1,98.1,0
1985/12/23,99.2,99.2,98.45,98.45,0
1985/12/24,98.85,98.85,97.72,98.12,0
1985/12/26,98.5,98.5,97,97.8,0
1985/12/27,98.5,99.5,98.5,98.6,0
1985/12/30,99.4,99.4,99.4,99.4,0
1985/12/31,100.5,100.5,99.2,99.2,0
1986/01/02,100,100,99.8,99.8,0
1986/01/03,99.85,99.85,99.85,99.85,0
1986/01/06,101.85,101.85,101.85,101.85,0
1986/01/07,103.5,104.5,103.5,104.15,0
1986/01/08,105.25,105.25,105.25,105.25,0
1986/01/09,105,109,105,106.8,0
1986/01/10,106,108,106,106.5,0
1986/01/13,105,105.45,105,105.45,0
1986/01/14,105.4,105.6,104.5,105.6,0
1986/01/15,106.5,107.9,106.5,107.9,0
1986/01/16,110,111,108.5,109.5,0
1986/01/17,107.5,107.5,107,107.4,0
1986/01/20,106,107.5,106,107.45,0
1986/01/21,108.7,109,107.65,107.65,0
1986/01/22,107.75,107.75,106.95,106.95,0
1986/01/23,105.75,106.9,105.75,106.9,0
1986/01/24,108,109.25,107.75,109.25,0
1986/01/27,110,110,108.5,109,0
1986/01/28,107.5,109.15,107.5,109.15,0
1986/01/29,110,110,109.8,109.8,0
1986/01/30,108.05,109.8,108.05,109.8,0
1986/01/31,109.8,109.8,106.9,106.9,0
1986/02/03,105,105,100.9,100.9,0
1986/02/04,99,100,98,98.45,0
1986/02/05,99,101.15,99,100.15,0
1986/02/06,101,101.4,100.5,101.4,0
1986/02/07,102,103,102,103,0
1986/02/10,103,105,103,104.5,0
1986/02/11,104,104.5,104,104.5,0
1986/02/12,103.65,103.65,103.65,103.65,0
1986/02/13,102,102,101.95,101.95,0
1986/02/14,103.8,103.8,103.8,103.8,0
1986/02/18,106,106.6,104.5,106.6,0
1986/02/19,107,110,106,108.15,0
1986/02/20,108.5,108.5,103.55,103.55,0
1986/02/21,104.75,106.55,104.75,106.55,0
1986/02/24,109.25,112.55,108.5,112.55,0
1986/02/25,116.5,120,116,119.8,0
1986/02/26,116,117.5,113.8,113.8,0
1986/02/27,110,111,107.5,108.75,0
1986/02/28,110.5,112,110.5,111.35,0
1986/03/03,110.5,111,108.5,110.4,0
1986/03/04,109.5,112.1,109.5,112.1,0
1986/03/05,111,112.5,111,111.85,0
1986/03/06,112.5,113,111.4,111.4,0
1986/03/07,111,111.5,111,111.2,0
1986/03/10,108.5,111,108,110.85,0
1986/03/11,111.5,112.5,111.5,111.55,0
1986/03/12,114.85,114.85,114.85,114.85,0
1986/03/13,115,115,112,112.75,0
1986/03/14,115,115,113.5,113.5,0
1986/03/17,116.5,116.5,115.9,115.9,0
1986/03/18,117.5,117.5,114,115.2,0
1986/03/19,116,116,115.5,115.6,0
1986/03/20,116.5,116.5,116.35,116.35,0
1986/03/21,117.5,119.7,117,119.7,0
1986/03/24,114.5,116.5,114.5,114.55,0
1986/03/25,117,117,112.75,112.75,0
1986/03/26,111.5,114.5,111.5,113.75,0
1986/03/27,115,116.4,114.75,116.4,0
1986/03/31,112,112,110.4,110.4,0
1986/04/01,108,109.6,107.2,108.8,0
1986/04/02,104,107.2,104,107.2,0
1986/04/03,107,107.45,104.5,106.75,0
1986/04/04,107.5,109,107.5,108.3,0
1986/04/07,109.6,110.3,109.6,110.15,0
1986/04/08,112,112,105.5,109.35,0
1986/04/09,110,110,108.75,109.85,0
1986/04/10,110,110,109.55,109.55,0
1986/04/11,110,110.75,110,110.2,0
1986/04/14,109,109,106.5,107.25,0
1986/04/15,109,109.5,107.6,107.6,0
1986/04/16,107.1,107.1,107.1,107.1,0
1986/04/17,108,108,107.85,107.85,0
1986/04/18,110.1,110.3,110,110.3,0
1986/04/21,110.25,110.25,109,109.5,0
1986/04/22,111.5,111.5,110.8,110.8,0
1986/04/23,111,112,111,111.9,0
1986/04/24,113,113.5,113,113.05,0
1986/04/25,112.75,113.5,112.3,112.3,0
1986/04/28,112.25,112.5,111.2,111.2,0
1986/04/29,111,111.5,109.75,109.75,0
1986/04/30,110.35,111.35,110.35,111.35,0
1986/05/01,110,110,107.75,107.75,0
1986/05/02,108.25,110.65,108.25,110.65,0
1986/05/05,110.25,111.25,110.25,110.4,0
1986/05/06,109.5,109.75,109,109.75,0
1986/05/07,109.8,109.8,109.8,109.8,0
1986/05/08,110.5,110.5,108.75,109.15,0
1986/05/09,109.5,110.75,109.5,109.75,0
1986/05/12,110.75,111,110.5,110.65,0
1986/05/13,110.5,111,109.5,109.5,0
1986/05/14,109.5,109.5,108.95,108.95,0
1986/05/15,108.5,109.5,108.5,109.5,0
1986/05/16,110.25,110.25,109.85,109.85,0
1986/05/19,110,110.5,108,108.15,0
1986/05/20,108,109,107.5,107.5,0
1986/05/21,108,108.5,107,107.05,0
1986/05/22,108.5,112,108.5,111.85,0
1986/05/23,111,111,109.5,110.25,0
1986/05/27,109.75,111.25,109.75,111.25,0
1986/05/28,110.5,111.5,109.95,109.95,0
1986/05/29,110,111,110,110.1,0
1986/05/30,111,111.25,108.7,108.7,0
1986/06/02,109.5,110,109,109.5,0
1986/06/03,109.75,109.75,108.35,108.35,0
1986/06/04,108.2,109,108.2,108.8,0
1986/06/05,110.2,110.2,109,109.7,0
1986/06/06,110,110,109,109.3,0
1986/06/09,109.5,114.35,109.5,114.35,0
1986/06/10,112,113.5,111.5,111.75,0
1986/06/11,111.25,113.5,110.5,112.55,0
1986/06/12,114.75,115.5,112.85,112.85,0
1986/06/13,114,114,113.5,113.65,0
1986/06/16,113.5,113.5,111,111.9,0
1986/06/17,112,112,110.3,110.3,0
1986/06/18,112,112,111.2,111.2,0
1986/06/19,111.5,112,111,111,0
1986/06/20,111,111.5,111,111.35,0
1986/06/23,112,112,110.25,111,0
1986/06/24,110.75,111.25,110.75,111.05,0
1986/06/25,112,113,112,112,0
1986/06/26,110.55,110.55,110.55,110.55,0
1986/06/27,110.5,110.5,109.5,109.85,0
1986/06/30,111.3,112,110.5,111.15,0
1986/07/01,111.75,111.75,110.45,110.45,0
1986/07/02,111.35,111.35,111.35,111.35,0
1986/07/03,112,112,110.62,110.62,0
1986/07/07,112.25,112.25,110.8,110.8,0
1986/07/08,111,112.25,111,111.25,0
1986/07/09,111.75,112.25,111.75,111.8,0
1986/07/10,111.75,112,111.5,111.85,0
1986/07/11,112,112.5,112,112.1,0
1986/07/14,112,112.25,111.5,111.5,0
1986/07/15,111.75,112.75,111.75,111.8,0
1986/07/16,111.75,112.75,111.75,112.75,0
1986/07/17,112.25,113.25,112.25,113.1,0
1986/07/18,112,113.5,112,112.45,0
1986/07/21,113,113.5,113,113.15,0
1986/07/22,112.5,113.5,112.5,112.8,0
1986/07/23,112,112.5,111.75,112.15,0
1986/07/24,111,111.75,111,111.7,0
1986/07/25,111.5,112.25,111.5,111.8,0
1986/07/28,112,112.5,112,112.1,0
1986/07/29,112.25,112.5,112,112.35,0
1986/07/30,112.5,112.9,112.1,112.15,0
1986/07/31,113.5,114.5,113.5,114.3,0
1986/08/01,114.3,114.5,113.1,113.6,0
1986/08/04,113.75,114.75,113.75,114.65,0
1986/08/05,114.5,116.4,114.5,116,0
1986/08/06,117.5,122,117.5,122,0
1986/08/07,123.8,128,122,124.95,0
1986/08/08,126.5,128.5,123.1,127.55,0
1986/08/11,133.55,133.55,129,133.55,0
1986/08/12,125,130.5,125,128.8,0
1986/08/13,129.75,132.75,128,131.52,0
1986/08/14,134.5,135,131,134.25,0
1986/08/15,135,136.5,131,133.55,0
1986/08/18,130,132,127.55,128.05,0
1986/08/19,122.05,128.5,122.05,125.05,0
1986/08/20,128,131,127.5,130.8,0
1986/08/21,128.25,135,128.25,134.8,0
1986/08/22,132.62,137.5,132.27,136.85,0
1986/08/25,137,140,136.3,138.9,0
1986/08/26,139.5,142,135,135.15,0
1986/08/27,139.5,141.5,136.57,136.77,0
1986/08/28,139,141,138,138.4,0
1986/08/29,142.5,143,140,140.15,0
1986/09/02,143.25,146.15,143.25,146.15,0
1986/09/03,147.5,148.5,145.5,146.1,0
1986/09/04,142.5,150.5,142.5,148.4,0
1986/09/05,150.5,152.5,150.5,151.15,0
1986/09/08,148,151.5,145.15,145.15,0
1986/09/09,142.5,143.25,136.25,139.2,0
1986/09/10,138.25,139.62,133.97,136.45,0
1986/09/11,134,136,131.7,133.7,0
1986/09/12,139.7,139.7,137.5,137.55,0
1986/09/15,138,140.5,138,140,0
1986/09/16,142,144.75,142,144.05,0
1986/09/17,144.25,144.75,142.5,142.8,0
1986/09/18,144.2,144.45,143.12,143.47,0
1986/09/19,144.15,144.15,143.75,144.15,0
1986/09/22,146,148,145,146.55,0
1986/09/23,144.25,146.5,144,145.5,0
1986/09/24,145.75,146.5,144.95,144.95,0
1986/09/25,140.5,142.5,138.95,138.95,0
1986/09/26,135.5,140.5,135,137.65,0
1986/09/29,138,138,134.3,134.45,0
1986/09/30,134.5,139,134.5,137.05,0
1986/10/01,139,139,138,138.35,0
1986/10/02,140.5,144.35,140.5,143.9,0
1986/10/03,146,147.5,141.2,141.2,0
1986/10/06,143,145,143,143.05,0
1986/10/07,142,143,141.5,143,0
1986/10/08,141.5,143,141.5,142.05,0
1986/10/09,140.5,141.5,137.5,137.95,0
1986/10/10,138,140,138,138.6,0
1986/10/13,138.5,140,138.5,139.3,0
1986/10/14,138.5,139.1,136.5,136.85,0
1986/10/15,134.5,136.5,134.5,135.75,0
1986/10/16,136,136.75,135.25,135.95,0
1986/10/17,135.1,135.1,133.5,134.55,0
1986/10/20,134.5,138.4,134.5,138.4,0
1986/10/21,137.75,138.75,136.25,136.25,0
1986/10/22,138,138,136.25,136.35,0
1986/10/23,136,136,130.6,131.45,0
1986/10/24,128.5,129.75,126.75,126.9,0
1986/10/27,128.5,129.75,128,129.3,0
1986/10/28,129.5,130,129.25,129.5,0
1986/10/29,127.75,128.25,126.75,127.55,0
1986/10/30,127,131.75,127,130.95,0
1986/10/31,128.5,130.5,128,129.05,0
1986/11/03,129.5,131.5,129.5,129.8,0
1986/11/04,130.25,131,129.5,129.7,0
1986/11/05,128.75,129.25,127.5,128,0
1986/11/06,128.5,128.5,127.75,127.85,0
1986/11/07,128.5,129,128,128.85,0
1986/11/10,129.75,130.25,127,127.8,0
1986/11/11,128.5,128.75,127.25,127.5,0
1986/11/12,127.65,127.85,125,125.75,0
