Date,Open,High,Low,Close,Vol
1985/11/14,352,353,352,352,0
1985/11/15,352,352,348.1,348.1,0
1985/11/18,350.5,350.5,347,348.9,0
1985/11/19,352,352,348.9,348.9,0
1985/11/20,349.5,350.6,349.5,350.6,0
1985/11/21,353.5,353.5,353.5,353.5,0
1985/11/22,365,367.1,365,367.1,0
1985/11/25,371,371.6,371,371.6,0
1985/11/26,368.5,368.5,366.8,366.8,0
1985/11/27,365,365,360.5,360.5,0
1985/11/29,364.2,364.2,361.8,361.8,0
1985/12/02,365.3,365.3,365.3,365.3,0
1985/12/03,362.6,362.6,362.6,362.6,0
1985/12/04,363.5,363.5,363.1,363.1,0
1985/12/05,358.1,358.1,358.1,358.1,0
1985/12/06,358,361,358,358.6,0
1985/12/09,353,353,338.7,338.7,0
1985/12/10,341.5,341.5,341.5,341.5,0
1985/12/11,339.8,339.8,339.8,339.8,0
1985/12/12,344.9,344.9,344.9,344.9,0
1985/12/13,349,349,349,349,0
1985/12/16,348,351.7,348,351.7,0
1985/12/17,353,353,348.6,348.6,0
1985/12/18,349.7,349.7,349.7,349.7,0
1985/12/19,351.3,351.3,351.3,351.3,0
1985/12/20,352.2,352.2,352.2,352.2,0
1985/12/23,351,351,351,351,0
1985/12/24,357.2,357.2,354.4,354.4,0
1985/12/26,353.2,353.2,353.2,353.2,0
1985/12/27,357.3,357.3,357.3,357.3,0
1985/12/30,361.5,361.5,360.3,360.3,0
1985/12/31,359,359,359,359,0
1986/01/02,359.5,359.5,359.5,359.5,0
1986/01/03,361.3,361.3,361.3,361.3,0
1986/01/06,375.4,375.4,375.4,375.4,0
1986/01/07,376,376,372,372.8,0
1986/01/08,371,374.8,371,374.8,0
1986/01/09,385,385,381.3,381.3,0
1986/01/10,380.5,380.5,377,379.9,0
1986/01/13,374,378,374,378,0
1986/01/14,376,376.9,376,376.9,0
1986/01/15,382,382.2,382,382.2,0
1986/01/16,390,391,380,380.4,0
1986/01/17,384.8,384.8,384.8,384.8,0
1986/01/20,384.8,384.8,384.8,384.8,0
1986/01/21,388.5,388.5,381.3,381.3,0
1986/01/22,383.5,386,382.5,383.8,0
1986/01/23,381,383,381,382.7,0
1986/01/24,390.6,392,390.6,390.6,0
1986/01/27,392,392,385.7,385.7,0
1986/01/28,384,384,383,383,0
1986/01/29,385,386.4,385,386.4,0
1986/01/30,389,389,384.8,384.8,0
1986/01/31,380.5,380.5,380.5,380.5,0
1986/02/03,377.5,377.5,364.1,364.1,0
1986/02/04,358,361,357,360.7,0
1986/02/05,365.5,366,363,366,0
1986/02/06,368.3,368.5,365.2,365.2,0
1986/02/07,367.5,373.5,367.5,373.5,0
1986/02/10,375.5,375.5,371.7,371.7,0
1986/02/11,370.5,371.2,368,371.2,0
1986/02/12,369.3,369.3,369.3,369.3,0
1986/02/13,365,367,364.5,366.4,0
1986/02/14,362,377.1,362,377.1,0
1986/02/18,383,387.9,383,387.9,0
1986/02/19,394,399,391,398.4,0
1986/02/20,397,397,394.5,396.1,0
1986/02/21,405,405,405,405,0
1986/02/24,412.5,423,410,422.8,0
1986/02/25,427,427.5,414.9,414.9,0
1986/02/26,410,412.2,402.4,405,0
1986/02/27,393,397,390,395.2,0
1986/02/28,401,407.7,397,407.7,0
1986/03/03,402.5,405.2,399.8,405.2,0
1986/03/04,400,411.6,400,411.6,0
1986/03/05,408,413.1,408,413.1,0
1986/03/06,411.5,413.5,409.7,409.7,0
1986/03/07,408,412.3,408,412.3,0
1986/03/10,405,410,405,407.4,0
1986/03/11,408.5,415.8,408.5,415.8,0
1986/03/12,415.5,422.6,413,422.6,0
1986/03/13,420,420,418,418.1,0
1986/03/14,418.5,425,418,419.1,0
1986/03/17,425.5,431,425.5,428.1,0
1986/03/18,431,434,428,432.1,0
1986/03/19,428,428.5,427.5,428.3,0
1986/03/20,431,439.8,431,439.8,0
1986/03/21,437.5,449.5,437.5,448.3,0
1986/03/24,440,441.5,434.5,434.5,0
1986/03/25,439,442,427,427.2,0
1986/03/26,424.5,429,424,427.4,0
1986/03/27,430.5,435,430,432.4,0
1986/03/31,418.7,424.2,410,419.3,0
1986/04/01,407,413.5,390,406.2,0
1986/04/02,412,414,412,413.2,0
1986/04/03,411,415,410.5,414.1,0
1986/04/04,413,414.5,413,414.4,0
1986/04/07,421,430.5,421,430.5,0
1986/04/08,432.5,434.4,423,434.4,0
1986/04/09,431.5,438,431.5,436.5,0
1986/04/10,435,440.5,434,437.5,0
1986/04/11,443,444.5,443,444.5,0
1986/04/14,436,438,427,432.3,0
1986/04/15,436,436,432.6,432.6,0
1986/04/16,432.5,432.5,425,426.7,0
1986/04/17,429.5,429.5,417,423,0
1986/04/18,422.5,428,421.7,421.7,0
1986/04/21,419,422.6,416,422.6,0
1986/04/22,426.7,432.6,426.7,432.5,0
1986/04/23,433,435,433,434,0
1986/04/24,432,434.9,430,434.9,0
1986/04/25,434,436,433.1,433.1,0
1986/04/28,430.5,435,430.5,432.2,0
1986/04/29,430,431.5,422.3,422.3,0
1986/04/30,424,429,423,427.3,0
1986/05/01,429,429,410,412.8,0
1986/05/02,413,419.9,413,419.9,0
1986/05/05,419,419.5,415,417.6,0
1986/05/06,420,424,420,423.4,0
1986/05/07,422.5,428.5,422.5,424,0
1986/05/08,426,426,423,424.4,0
1986/05/09,426.3,430,426.3,429.4,0
1986/05/12,432,432,429.2,429.2,0
1986/05/13,422,426.6,420,426.6,0
1986/05/14,422.5,422.5,420.1,422.2,0
1986/05/15,422,423,421.5,421.6,0
1986/05/16,419.8,419.8,417.8,417.8,0
1986/05/19,417.5,417.5,411.5,412.1,0
1986/05/20,410,411,403,409.6,0
1986/05/21,409.7,411,408.5,410,0
1986/05/22,410.5,415.2,410.5,415.2,0
1986/05/23,415,417,413.5,415.5,0
1986/05/27,415.5,421,415.5,418.1,0
1986/05/28,421.5,421.5,419,419,0
1986/05/29,419.5,422.3,419.5,421,0
1986/05/30,422,430.4,422,430.4,0
1986/06/02,430,430.5,425,428.6,0
1986/06/03,427.5,429,426,427.2,0
1986/06/04,423,424.5,422.8,422.8,0
1986/06/05,425.4,428.9,425.4,428.9,0
1986/06/06,428,429,427,427.8,0
1986/06/09,438.7,440.2,434.7,435.3,0
1986/06/10,449.5,451.5,442.5,442.9,0
1986/06/11,444,462,444,450.2,0
1986/06/12,458,461.5,454,460.7,0
1986/06/13,457,459,453.1,453.1,0
1986/06/16,453,453.5,433.5,435.2,0
1986/06/17,432.5,441.6,432.5,441.6,0
1986/06/18,442.5,445,441,441.9,0
1986/06/19,440.5,446,435.5,438.7,0
1986/06/20,436,440.5,436,439.2,0
1986/06/23,443.5,443.5,440.5,443.1,0
1986/06/24,442,445,442,443.8,0
1986/06/25,448,449,445.8,449,0
1986/06/26,448.5,448.5,447.4,447.4,0
1986/06/27,447,447.5,435.9,435.9,0
1986/06/30,443.5,445,439,441.9,0
1986/07/01,443,443,430.8,430.8,0
1986/07/02,433.5,435.7,432,435.7,0
1986/07/03,436.7,439.7,436,439.7,0
1986/07/07,440,443.7,440,443.7,0
1986/07/08,446.5,448.8,446,448.8,0
1986/07/09,451,452.5,445.5,446.8,0
1986/07/10,444,445.5,444,445.5,0
1986/07/11,446.5,447,443.9,444.3,0
1986/07/14,442.5,443.5,442,442,0
1986/07/15,442.5,449,442.5,448.8,0
1986/07/16,452.5,452.5,449.9,449.9,0
1986/07/17,449,450,449,449.4,0
1986/07/18,447.5,456.8,447.5,456.8,0
1986/07/21,457,459,456.5,459,0
1986/07/22,458,459,455,457.2,0
1986/07/23,452,452,445,449.1,0
1986/07/24,448.5,455,448.5,454.5,0
1986/07/25,455.5,455.5,453.6,453.6,0
1986/07/28,458,460,456.5,457.6,0
1986/07/29,457,458.5,457,457.4,0
1986/07/30,457,458,457,457.7,0
1986/07/31,464.5,475,464.5,473.6,0
1986/08/01,471,478.5,471,478.5,0
1986/08/04,478,483,478,481.8,0
1986/08/05,479.5,481.2,478,481.2,0
1986/08/06,486.5,491,486.5,489.7,0
1986/08/07,501,507.5,498.5,506.2,0
1986/08/08,528.6,531.8,522.2,531.2,0
1986/08/11,556.2,556.2,546,556.2,0
1986/08/12,562.1,564.1,543,550.8,0
1986/08/13,568,572,540,545.4,0
1986/08/14,542,556.2,542,556.2,0
1986/08/15,558,558,549,554,0
1986/08/18,546,549,540,547.5,0
1986/08/19,540.5,548.2,540.5,544.2,0
1986/08/20,552.2,569.8,551,567.3,0
1986/08/21,564,591.5,561.5,590.4,0
1986/08/22,590,601,575,579.2,0
1986/08/25,579,596.5,579,595.2,0
1986/08/26,596,603.5,593,596.4,0
1986/08/27,589,603,589,600.4,0
1986/08/28,611,620,606,615.6,0
1986/08/29,633,637,623,630.8,0
1986/09/02,648.5,653,638.5,645.8,0
1986/09/03,664,669,654,660.8,0
1986/09/04,674,679.2,667,672.3,0
1986/09/05,684,689.5,680,683.9,0
1986/09/08,661.5,665.2,656.9,658.9,0
1986/09/09,639,641,633.9,633.9,0
1986/09/10,603,611,590.1,605.4,0
1986/09/11,567,581,546.4,576.9,0
1986/09/12,594,598,573.5,580.6,0
1986/09/15,576,592,569,589.7,0
1986/09/16,589,592,577,581,0
1986/09/17,581,582,562.5,568.7,0
1986/09/18,573,576,565,569.5,0
1986/09/19,589,597.7,584,594.5,0
1986/09/22,605,619.5,603,619.5,0
1986/09/23,611.2,620.2,607.1,615.4,0
1986/09/24,617.5,621,611.3,611.3,0
1986/09/25,601,609.5,597.9,598.9,0
1986/09/26,584.5,598,584.5,586.5,0
1986/09/29,567.7,584.2,567.7,572.5,0
1986/09/30,551,570.5,551,558.6,0
1986/10/01,565,571,564.5,565.8,0
1986/10/02,590.4,593.4,578.2,582.8,0
1986/10/03,615.8,615.8,592,599.9,0
1986/10/06,609,622,608.5,619.8,0
1986/10/07,609.5,614.5,602.1,613.2,0
1986/10/08,607.5,611.5,597,604.8,0
1986/10/09,595,600.7,589.7,595.9,0
1986/10/10,582.5,590,582.5,587,0
1986/10/13,591,599,591,599,0
1986/10/14,592.5,595,580,584.8,0
1986/10/15,587,590.5,578,580.7,0
1986/10/16,581.5,586,576,576.7,0
1986/10/17,568,581,565.5,578.6,0
1986/10/20,587,597.7,581.5,590,0
1986/10/21,606,614.5,597.5,601.4,0
1986/10/22,606.5,607.5,595,596.3,0
1986/10/23,588.2,594,582.5,584.2,0
1986/10/24,570,580.5,570,572.1,0
1986/10/27,580,590.5,578.3,585.6,0
1986/10/28,585.5,590,582.1,586.8,0
1986/10/29,576,590,572.5,576,0
1986/10/30,576.5,586.7,574,576.1,0
1986/10/31,577,583.5,575.5,576.2,0
1986/11/03,577.5,585.5,577.5,579.2,0
1986/11/04,584,586,580,580.7,0
1986/11/05,575,577,560,560.2,0
1986/11/06,563,572.5,563,569.3,0
1986/11/07,568.5,570,563,564.2,0
1986/11/10,563.7,564.5,549,554.2,0
1986/11/11,559,559,535,544.2,0
1986/11/12,543,545,523,531.2,0
1986/11/13,537.5,538,530.5,537.9,0
1986/11/14,517.2,518.5,509.2,512.9,0
1986/11/17,497,499,487.9,487.9,0
1986/11/18,488.5,501,487.5,500.2,0
1986/11/19,483,493.2,479.7,492.3,0
1986/11/20,477.5,485.5,472,484.5,0
1986/11/21,475.2,482.7,472.5,481,0
1986/11/24,473,480,473,477.5,0
1986/11/25,477,484,474,479.3,0
1986/11/26,477,483.5,477,481.7,0
1986/11/28,481.7,481.7,481.7,481.7,0
1986/12/01,486.3,487.3,477.3,480.8,0
1986/12/02,491,493,473,480,0
1986/12/03,474,488,470,483.1,0
1986/12/04,484,485.5,476,481.8,0
1986/12/05,482.5,485.5,481.5,484.8,0
1986/12/08,484.5,485.5,478,483.4,0
1986/12/09,482.6,484.5,474,479.7,0
1986/12/10,480,492.9,479.5,486.3,0
1986/12/11,483,489,480.5,487.6,0
1986/12/12,487,490,485,488.9,0
1986/12/15,494,503.5,494,497.9,0
1986/12/16,495,498.5,486.3,491.7,0
1986/12/17,491,492,476.5,482.1,0
1986/12/18,482,487.4,477,486.6,0
1986/12/19,487.5,489,477.1,478.4,0
1986/12/22,485,487.5,480.5,481.2,0
1986/12/23,481,482.5,467,471.3,0
1986/12/24,472,476,472,475.8,0
1986/12/29,480.5,482,478.2,478.3,0
1986/12/30,478.5,479.5,465,467,0
1986/12/31,470,483.5,469.5,479.7,0
1987/01/02,482.5,495,481.4,481.4,0
1987/01/05,481.5,487.6,476,487.6,0
1987/01/06,488.5,492.5,485,485.6,0
1987/01/07,484,490.2,480.5,490.2,0
1987/01/08,495,503.5,495,502.3,0
1987/01/09,517.5,525.7,515.5,519.9,0
1987/01/12,540,548,536,537.5,0
