Date,Open,High,Low,Close,Vol
1972/06/01,6.94,6.94,6.89,6.89,0
1972/06/02,6.86,6.89,6.86,6.89,0
1972/06/05,6.89,6.89,6.83,6.83,0
1972/06/06,6.83,6.84,6.82,6.82,0
1972/06/07,6.86,6.99,6.85,6.95,0
1972/06/08,6.91,6.99,6.88,6.92,0
1972/06/09,6.93,6.93,6.91,6.91,0
1972/06/12,6.88,6.89,6.86,6.88,0
1972/06/13,6.84,6.84,6.7,6.72,0
1972/06/14,6.53,6.55,6.53,6.54,0
1972/06/15,6.4,6.61,6.4,6.61,0
1972/06/16,6.6,6.6,6.3,6.31,0
1972/06/19,6.27,6.5,6.27,6.5,0
1972/06/20,6.42,6.42,6.38,6.41,0
1972/06/21,6.33,6.38,6.24,6.24,0
1972/06/22,6.1,6.22,6.07,6.09,0
1972/06/23,6.13,6.15,6.06,6.09,0
1972/06/26,6.03,6.04,5.75,5.75,0
1972/06/27,5.78,6.03,5.78,5.91,0
1972/06/28,5.95,6.15,5.94,5.94,0
1972/06/29,5.83,5.95,5.83,5.91,0
1972/06/30,5.82,5.83,5.68,5.83,0
1972/07/03,5.84,5.85,5.77,5.85,0
1972/07/05,5.79,6,5.79,5.98,0
1972/07/06,6.07,6.22,6.04,6.22,0
1972/07/07,6.06,6.07,5.72,5.72,0
1972/07/10,5.58,5.88,5.58,5.68,0
1972/07/11,5.68,5.91,5.68,5.84,0
1972/07/12,5.8,5.99,5.78,5.97,0
1972/07/13,6.07,6.1,5.85,5.92,0
1972/07/14,6.1,6.22,6,6.01,0
1972/07/17,5.97,6.07,5.94,5.97,0
1972/07/18,6.02,6.11,6.01,6.05,0
1972/07/19,6.01,6.02,5.92,5.94,0
1972/07/20,5.92,5.96,5.75,5.77,0
1972/07/21,5.78,5.86,5.75,5.85,0
1972/07/24,5.83,5.83,5.78,5.78,0
1972/07/25,5.67,5.69,5.54,5.56,0
1972/07/26,5.58,5.71,5.58,5.64,0
1972/07/27,5.6,5.63,5.54,5.56,0
1972/07/28,5.56,5.62,5.49,5.52,0
1972/07/31,5.68,5.75,5.6,5.66,0
1972/08/01,5.77,5.93,5.73,5.91,0
1972/08/02,5.92,6.03,5.87,6,0
1972/08/03,6.02,6.16,5.93,6.11,0
1972/08/04,6.6,6.62,6.43,6.58,0
1972/08/07,6.72,6.94,6.64,6.82,0
1972/08/08,6.72,6.82,6.5,6.68,0
1972/08/09,6.48,6.52,6.35,6.48,0
1972/08/10,6.66,6.79,6.66,6.69,0
1972/08/11,6.65,7.05,6.61,6.98,0
1972/08/14,7.09,7.18,6.88,6.92,0
1972/08/15,6.73,6.9,6.68,6.77,0
1972/08/16,6.97,6.99,6.86,6.9,0
1972/08/17,6.9,6.93,6.77,6.79,0
1972/08/18,6.95,7.22,6.95,7.21,0
1972/08/21,7.52,7.6,7.44,7.59,0
1972/08/22,7.64,7.65,7.32,7.38,0
1972/08/23,7.52,7.88,7.38,7.88,0
1972/08/24,7.78,7.97,7.63,7.67,0
1972/08/25,7.84,7.9,7.75,7.81,0
1972/08/28,7.85,8.08,7.82,8.05,0
1972/08/29,8.1,8.28,7.82,7.82,0
1972/08/30,8.09,8.37,8.09,8.32,0
1972/08/31,8.22,8.33,8.09,8.22,0
1972/09/01,8.35,8.4,8.25,8.34,0
1972/09/05,8.45,8.48,7.86,7.86,0
1972/09/06,7.83,8.2,7.63,8.15,0
1972/09/07,7.86,7.98,7.65,7.65,0
1972/09/08,7.3,7.43,7.15,7.15,0
1972/09/11,7.25,7.45,7.25,7.33,0
1972/09/12,7.28,7.29,6.9,7.04,0
1972/09/13,7.23,7.54,7.19,7.54,0
1972/09/14,7.84,7.84,7.35,7.35,0
1972/09/15,7.52,7.6,7.18,7.33,0
1972/09/18,7.51,7.54,7.35,7.35,0
1972/09/19,7.3,7.4,7.12,7.35,0
1972/09/20,7.27,7.83,7.24,7.8,0
1972/09/21,7.59,7.74,7.55,7.57,0
1972/09/22,7.65,7.89,7.63,7.68,0
1972/09/25,7.61,7.64,7.45,7.57,0
1972/09/26,7.59,7.74,7.4,7.7,0
1972/09/27,7.68,7.8,7.61,7.61,0
1972/09/28,7.82,8.08,7.8,8.03,0
1972/09/29,8.09,8.09,7.89,7.91,0
1972/10/02,8.08,8.13,7.74,7.88,0
1972/10/03,7.82,7.89,7.75,7.81,0
1972/10/04,7.75,7.84,7.72,7.8,0
1972/10/05,7.4,7.57,7.4,7.47,0
1972/10/06,7.59,7.67,7.52,7.59,0
1972/10/10,7.74,7.86,7.68,7.83,0
1972/10/11,7.88,7.9,7.7,7.7,0
1972/10/12,7.66,7.75,7.6,7.68,0
1972/10/13,7.85,7.94,7.76,7.76,0
1972/10/16,7.97,8.08,7.89,8.05,0
1972/10/17,8.04,8.05,7.75,7.75,0
1972/10/18,7.8,7.92,7.77,7.83,0
1972/10/19,7.94,7.99,7.73,7.74,0
1972/10/20,7.74,7.9,7.64,7.85,0
1972/10/24,7.7,7.84,7.69,7.69,0
1972/10/25,7.64,7.68,7.33,7.37,0
1972/10/26,7.39,7.49,7.24,7.24,0
1972/10/27,7.28,7.42,7.28,7.33,0
1972/10/30,7.27,7.27,7.02,7.03,0
1972/10/31,7.11,7.24,7.1,7.15,0
1972/11/01,7.24,7.57,7.24,7.48,0
1972/11/02,7.59,7.61,7.4,7.4,0
1972/11/03,7.43,7.52,7.37,7.41,0
1972/11/06,7.5,7.54,7.43,7.45,0
1972/11/08,7.5,7.75,7.48,7.64,0
1972/11/09,7.54,7.55,7.43,7.43,0
1972/11/10,7.5,7.6,7.48,7.59,0
1972/11/13,7.5,7.5,7.36,7.38,0
1972/11/14,7.2,7.34,7.16,7.32,0
1972/11/15,7.3,7.4,7.29,7.36,0
1972/11/16,7.42,7.42,7.33,7.35,0
1972/11/17,7.4,7.49,7.26,7.39,0
1972/11/20,7.3,7.35,7.26,7.27,0
1972/11/21,7.12,7.23,7.08,7.18,0
1972/11/22,7.13,7.31,7.11,7.25,0
1972/11/24,7.36,7.44,7.33,7.35,0
1972/11/27,7.5,7.51,7.39,7.4,0
1972/11/28,7.54,7.62,7.53,7.53,0
1972/11/29,7.62,7.64,7.52,7.56,0
1972/11/30,7.61,7.85,7.61,7.85,0
1972/12/01,7.94,8.33,7.88,8.18,0
1972/12/04,8.4,8.65,8.29,8.54,0
1972/12/05,8.59,8.89,8.46,8.79,0
1972/12/06,8.62,8.88,8.55,8.57,0
1972/12/07,8.85,9.08,8.82,8.92,0
1972/12/08,8.85,9.1,8.82,8.98,0
1972/12/11,9.08,9.33,9.07,9.26,0
1972/12/12,9.58,9.58,8.78,8.78,0
1972/12/13,9,9.18,8.56,9.08,0
1972/12/14,9.03,9.25,8.83,9.05,0
1972/12/15,9.33,9.34,9.16,9.2,0
1972/12/18,9.06,9.12,8.73,8.8,0
1972/12/19,8.95,9.12,8.92,9.04,0
1972/12/20,9.13,9.22,9.05,9.21,0
1972/12/21,9.24,9.46,9.18,9.42,0
1972/12/26,9.55,9.64,9.53,9.57,0
1972/12/27,9.64,9.65,9.33,9.4,0
1972/12/29,9.6,9.82,9.58,9.77,0
1973/01/02,9.83,9.83,9.42,9.53,0
1973/01/03,9.35,9.46,9.12,9.25,0
1973/01/04,9.38,9.54,9.34,9.45,0
1973/01/05,9.52,9.53,9.3,9.3,0
1973/01/08,9.2,9.55,9.15,9.49,0
1973/01/09,9.63,9.78,9.6,9.71,0
1973/01/10,9.86,9.95,9.65,9.71,0
1973/01/11,9.85,9.9,9.68,9.87,0
1973/01/12,10.05,10.25,9.94,10.13,0
1973/01/15,10.28,10.3,10.07,10.13,0
