Date,Open,High,Low,Close,Vol
1998/02/02,358.8,361,350.5,359.2,0
1998/02/03,357,362,357,357,0
1998/02/04,355,359,352.9,352.9,0
1998/02/05,351,361.6,351,361.6,0
1998/02/06,362,366,355,357,0
1998/02/07,362,366,355,364.6,0
1998/02/09,366.5,368.5,362.5,363.7,0
1998/02/10,361.5,361.5,355,357.3,0
1998/02/11,362.5,365.1,361.5,363.5,0
1998/02/12,364,366.5,363,365.4,0
1998/02/13,369.8,369.8,361.7,361.7,0
1998/02/14,369.8,369.8,361.7,361.7,0
1998/02/16,357.9,361.2,357.5,360.5,0
1998/02/17,357,370,357,368.5,0
1998/02/18,370.8,372.5,368.1,371.5,0
1998/02/19,375,381.5,374.1,379.6,0
1998/02/20,378,379.9,377.2,378.7,0
1998/02/21,378,381,376,376.5,0
1998/02/23,373,380.4,373,378.8,0
1998/02/24,379.5,383.8,372.2,375.9,0
1998/02/25,372.9,377,371.5,375,0
1998/02/26,381,391.7,379,387.8,0
1998/02/27,393,393,384,386.1,0
1998/02/28,393,393,384,386.1,0
1998/03/02,386.3,390.2,385.1,389.9,0
1998/03/03,386,387,380.5,384.7,0
1998/03/04,383.1,383.9,369.3,370.9,0
1998/03/05,364,365,348,354.7,0
1998/03/06,346,364.9,345.5,364.9,0
1998/03/07,346,370.7,345.5,359.7,0
1998/03/09,359,365,355,363.4,0
1998/03/10,364,367.6,361,365.4,0
1998/03/11,369.1,374.9,366.2,372.9,0
1998/03/12,371.1,377.2,370,373.9,0
1998/03/13,373.6,375,368,371.7,0
1998/03/14,373.6,375,368,371.7,0
1998/03/16,370.6,372.4,367.3,371.9,0
1998/03/17,375,376.9,367,368.1,0
1998/03/18,367,368.7,361.6,363.3,0
1998/03/19,363.6,365.8,357,359,0
1998/03/20,363.8,364.7,358.3,362.8,0
1998/03/21,363.8,365.7,357.5,359.3,0
1998/03/23,358.6,358.6,352.6,354.1,0
1998/03/24,352,359.9,351.3,359.2,0
1998/03/25,362.5,368.9,362,367,0
1998/03/26,368.5,368.6,364,365,0
1998/03/27,364.1,370.9,364,369.6,0
1998/03/28,364.1,370.9,364,369.6,0
1998/03/30,372,372.3,367.4,371.3,0
1998/03/31,369.5,369.5,365,365.9,0
1998/04/01,369.8,370,362.5,363.8,0
1998/04/02,365,365.2,359.8,362.7,0
1998/04/03,363,369,362.5,368.9,0
1998/04/04,363,372.5,362.5,372.1,0
1998/04/07,371,376.2,370.6,374.9,0
1998/04/08,371,375.3,369.9,373.9,0
1998/04/09,373.2,377,365.5,365.7,0
1998/04/10,368,368.8,358.8,361.2,0
1998/04/11,368,368.8,358.8,361.2,0
1998/04/13,360.5,361,352.5,353.4,0
1998/04/14,352.8,354,347,347.9,0
1998/04/15,352,354.5,344.5,349.2,0
1998/04/16,341.5,353,341.5,347.5,0
1998/04/17,343.8,348.7,339,341.6,0
1998/04/18,343.8,348.7,337.8,347.5,0
1998/04/20,347.5,350,332.1,336.7,0
1998/04/21,333.2,341.4,333.2,336.4,0
1998/04/22,340,344.4,338.7,343.7,0
1998/04/23,344,345.4,340.2,344.9,0
1998/04/24,341.8,346.5,340.6,345.8,0
1998/04/25,341.8,346.5,340.6,345.8,0
1998/04/27,342.5,345.5,338.8,338.8,0
1998/04/28,332.8,341,332.8,339.9,0
1998/04/29,330.5,333.5,326,326.8,0
1998/04/30,327.5,330,321.1,321.4,0
1998/05/02,327,327.1,321.2,324.5,0
1998/05/04,323.2,327.8,322.1,326.6,0
1998/05/05,327.2,328.5,321.4,321.8,0
1998/05/06,320.6,322.4,314.6,321.2,0
1998/05/07,320,323.5,318.3,319.2,0
1998/05/08,318.5,324.8,313.5,324.5,0
1998/05/09,318.5,324.8,313.5,323.6,0
1998/05/11,324.9,333.5,324.6,330.9,0
1998/05/12,329.9,340,321,323.4,0
1998/05/13,323.3,326.2,317.8,319.3,0
1998/05/14,319.5,322.6,317.5,318.8,0
1998/05/15,319,322,317.8,319.3,0
1998/05/16,319,322,316.3,317,0
1998/05/18,314.9,318,312.7,316.5,0
1998/05/19,314.9,320.1,314.2,317.1,0
1998/05/20,321,324.9,319.3,323.3,0
1998/05/21,325,328.5,324,327.9,0
1998/05/22,326.2,327.8,324.5,327.1,0
1998/05/23,326.2,327.8,324.5,327.1,0
1998/05/25,325,326.8,313.6,322.2,0
1998/05/26,320,321.6,316.8,318.7,0
1998/05/27,315.6,316.5,311,311.5,0
1998/05/28,301.5,308.2,301.2,307.3,0
1998/05/29,306,307,295.5,296.7,0
1998/05/30,306,307,295.5,296.7,0
1998/06/01,296,297.7,290.9,291.6,0
1998/06/02,291.9,296.3,290.6,292.3,0
1998/06/03,292.8,296.8,292.1,294.5,0
1998/06/04,293.7,294,286.3,287.8,0
1998/06/05,292.5,293.5,282,289.7,0
1998/06/06,292.5,293.5,282,293.1,0
1998/06/08,292,292.1,288.2,290.8,0
1998/06/09,290.2,290.2,282.8,285.3,0
1998/06/10,281.9,283.8,268,271.3,0
1998/06/11,266.8,276,266.5,273.7,0
1998/06/12,267.8,273,266.5,272.1,0
1998/06/13,267.8,273,266.5,272.1,0
1998/06/15,272,279,270.8,278.2,0
1998/06/16,272.5,289,271.5,287.1,0
1998/06/17,289.6,292,287.7,289.7,0
1998/06/18,299,302.5,295,300,0
1998/06/19,297.6,304.8,296.6,298.4,0
1998/06/20,297.6,304.8,296.6,301.6,0
1998/06/22,301.5,301.8,294.3,296,0
1998/06/23,296.8,296.8,293.5,295.5,0
1998/06/24,294,299.7,294,294.7,0
1998/06/25,296.5,300.8,296.5,299.8,0
1998/06/26,295.4,300.9,295.4,299.1,0
1998/06/27,295.4,300.9,295.4,299.6,0
1998/06/29,294,294.3,286.9,288.6,0
1998/06/30,288.5,292.4,288.2,291.2,0
1998/07/02,296,309,295.8,308.7,0
1998/07/03,305.1,306.9,300.1,301.7,0
1998/07/04,305.1,306.9,300.1,306.2,0
1998/07/06,303.8,308,303.5,304.5,0
1998/07/07,305,306.8,302.2,303.4,0
1998/07/08,304,307,304,305.3,0
1998/07/09,307.9,312.2,307.5,309.1,0
1998/07/10,308.5,308.5,302.2,304.6,0
1998/07/11,308.5,308.5,302.2,304.6,0
1998/07/13,301.3,301.8,296.3,299.2,0
1998/07/14,299.9,301.5,294.7,296.1,3710
1998/07/15,298.8,300,296.1,299.2,5782
1998/07/16,299.2,305.8,299.2,303.9,6358
1998/07/17,306,313.5,305.6,313,3380
1998/07/18,306,314.9,305.6,310.4,3861
1998/07/20,309.2,311,305.8,307.2,4468
1998/07/21,307.7,308.5,300.3,301,6286
1998/07/22,296.8,298,293.5,296.3,5127
1998/07/23,295.5,298.5,294.2,296.4,6169
1998/07/24,291.5,300.6,291,300.6,6169
1998/07/25,291.5,300.6,291,298.8,3781
1998/07/27,299.4,299.5,294.5,295.2,3816
1998/07/28,297,298.8,293.8,295.2,105
1998/07/29,293.2,296.3,291.6,294.2,3290
1998/07/30,289,291,287.2,291,186
1998/07/31,292,293.5,283.9,284.9,3996
1998/08/01,292,293.5,281,284.1,253
1998/08/03,286,287,280.4,281,4113
1998/08/04,280.5,284.9,280,281.7,7178
1998/08/05,278,279.2,275.5,277.5,4205
1998/08/06,279,279.5,275.7,276.7,4295
1998/08/07,278.3,279.6,276.3,278.8,4295
1998/08/08,278.3,279.6,276.3,278.8,3084
1998/08/10,275.2,277.5,274.2,275.9,2879
1998/08/11,273.6,275.9,270.5,270.5,3153
1998/08/12,272.8,276.6,271.2,273.6,4226
1998/08/13,276,276,271.5,273.1,4740
1998/08/14,271.6,277,269,275.1,1763
1998/08/15,271.6,277,269,273.9,3329
1998/08/17,272.3,274,271.5,272.2,5827
1998/08/18,274,274.7,268,270.7,178
1998/08/19,273,276,273,275,3277
1998/08/20,274,275.6,273.5,274.3,3071
1998/08/21,272,272.7,268.5,270.9,3071
1998/08/22,272,272.7,268.5,270.9,6068
1998/08/24,267.9,268.7,255.6,256.8,0
1998/08/25,258.1,260.6,255.3,260.2,3250
1998/08/26,262,263,250.5,250.9,4941
1998/08/27,250.2,255,247.4,253.2,2696
1998/08/28,243,255.5,243,251.7,2696
1998/08/29,240.5,254,240,247.8,5643
1998/08/31,250,250,238.1,240,9058
1998/09/01,233.9,237.8,227,235.3,7306
1998/09/02,239.7,240.5,234,236.2,8654
1998/09/03,234,234,221,225.4,12214
1998/09/04,221.6,244.6,221.3,238.3,6317
1998/09/05,221.6,251.5,221.3,251.1,7907
1998/09/07,255.5,258.5,247.2,255.2,6381
1998/09/08,256.9,261,253,260.2,7377
1998/09/09,263.8,264,253.5,254.1,6211
1998/09/10,252.3,255.9,249.9,250.5,8024
1998/09/11,247.6,254.8,245.2,253.2,8024
1998/09/12,247.6,254.8,245.2,253.6,5851
1998/09/14,255,260,254.1,258,6296
1998/09/15,259.5,260.5,256.5,257.9,6105
