Date,Open,High,Low,Close,Vol
1984/12/03,0.718,0.725,0.716,0.7245,0
1984/12/04,0.7275,0.729,0.724,0.7254,0
1984/12/05,0.719,0.725,0.7165,0.723,0
1984/12/06,0.724,0.7247,0.715,0.7162,0
1984/12/07,0.714,0.714,0.708,0.71,0
1984/12/10,0.705,0.708,0.703,0.706,0
1984/12/11,0.7,0.701,0.7,0.701,0
1984/12/12,0.699,0.699,0.6935,0.6935,0
1984/12/13,0.6855,0.69,0.6855,0.69,0
1984/12/14,0.688,0.689,0.681,0.685,0
1984/12/17,0.6805,0.69,0.6775,0.69,0
1984/12/18,0.6885,0.69,0.6885,0.69,0
1984/12/19,0.6845,0.6845,0.6745,0.6745,0
1984/12/20,0.663,0.6665,0.6605,0.6665,0
1984/12/21,0.67,0.6745,0.67,0.6745,0
1984/12/26,0.68,0.684,0.68,0.684,0
1984/12/27,0.6785,0.6785,0.675,0.675,0
1984/12/28,0.672,0.681,0.67,0.681,0
1985/01/02,0.668,0.668,0.662,0.662,0
1985/01/03,0.665,0.669,0.662,0.662,0
1985/01/04,0.6605,0.662,0.656,0.662,0
1985/01/07,0.6635,0.6715,0.6635,0.6715,0
1985/01/08,0.6745,0.6785,0.6695,0.6695,0
1985/01/09,0.665,0.67,0.664,0.668,0
1985/01/10,0.675,0.6805,0.6745,0.6805,0
1985/01/11,0.684,0.695,0.68,0.691,0
1985/01/14,0.697,0.7,0.696,0.699,0
1985/01/15,0.695,0.695,0.6935,0.6935,0
1985/01/16,0.6875,0.693,0.6865,0.691,0
1985/01/17,0.7,0.7,0.698,0.7,0
1985/01/18,0.701,0.702,0.695,0.6975,0
1985/01/21,0.689,0.689,0.6875,0.6875,0
1985/01/22,0.677,0.677,0.677,0.677,0
1985/01/23,0.6725,0.6735,0.666,0.669,0
1985/01/24,0.6715,0.677,0.67,0.6743,0
1985/01/25,0.6775,0.681,0.675,0.681,0
1985/01/28,0.67,0.7,0.67,0.695,0
1985/01/29,0.695,0.7055,0.695,0.705,0
1985/01/30,0.715,0.7225,0.711,0.7185,0
1985/01/31,0.7235,0.7235,0.7195,0.7225,0
1985/02/01,0.7163,0.72,0.711,0.7155,0
1985/02/04,0.715,0.7155,0.71,0.71,0
1985/02/05,0.7095,0.7165,0.708,0.716,0
1985/02/06,0.721,0.73,0.72,0.7275,0
1985/02/07,0.7275,0.7275,0.7275,0.7275,0
1985/02/08,0.7305,0.734,0.7305,0.7333,0
1985/02/11,0.7445,0.747,0.743,0.747,0
1985/02/12,0.735,0.736,0.726,0.73,0
1985/02/13,0.732,0.745,0.7275,0.745,0
1985/02/14,0.745,0.749,0.744,0.748,0
1985/02/15,0.7525,0.765,0.7525,0.763,0
1985/02/19,0.7535,0.756,0.747,0.756,0
1985/02/20,0.754,0.762,0.748,0.7615,0
1985/02/21,0.7603,0.764,0.7565,0.7565,0
1985/02/22,0.747,0.747,0.737,0.7374,0
1985/02/25,0.7288,0.7335,0.7265,0.7335,0
1985/02/26,0.7325,0.7435,0.73,0.7416,0
1985/02/27,0.745,0.75,0.743,0.743,0
1985/02/28,0.743,0.749,0.743,0.749,0
1985/03/01,0.753,0.755,0.749,0.7498,0
1985/03/04,0.754,0.7625,0.7525,0.76,0
1985/03/05,0.754,0.755,0.749,0.7494,0
1985/03/06,0.7468,0.752,0.745,0.7505,0
1985/03/07,0.755,0.7605,0.7525,0.7605,0
1985/03/08,0.7615,0.7625,0.759,0.76,0
1985/03/11,0.755,0.761,0.755,0.7595,0
1985/03/12,0.7625,0.7775,0.7625,0.7775,0
1985/03/13,0.7863,0.79,0.78,0.7875,0
1985/03/14,0.7845,0.79,0.7805,0.79,0
1985/03/15,0.794,0.794,0.787,0.79,0
1985/03/18,0.7878,0.8015,0.787,0.8,0
1985/03/19,0.7975,0.803,0.792,0.801,0
1985/03/20,0.81,0.816,0.8,0.8001,0
1985/03/21,0.803,0.815,0.8,0.814,0
1985/03/22,0.817,0.817,0.8045,0.81,0
1985/03/25,0.8045,0.8105,0.8035,0.8088,0
1985/03/26,0.804,0.815,0.8025,0.811,0
1985/03/27,0.8115,0.814,0.809,0.809,0
1985/03/28,0.8105,0.812,0.8065,0.8075,0
1985/03/29,0.812,0.813,0.805,0.8122,0
1985/04/01,0.8235,0.825,0.821,0.825,0
1985/04/02,0.83,0.8335,0.828,0.8335,0
1985/04/03,0.8325,0.8325,0.827,0.8325,0
1985/04/04,0.835,0.839,0.835,0.8385,0
1985/04/08,0.8385,0.8525,0.8385,0.8525,0
1985/04/09,0.8525,0.8525,0.85,0.8525,0
1985/04/10,0.8525,0.854,0.85,0.854,0
1985/04/11,0.85,0.85,0.838,0.8475,0
1985/04/12,0.845,0.845,0.8275,0.8304,0
1985/04/15,0.8375,0.841,0.834,0.838,0
1985/04/16,0.834,0.835,0.828,0.828,0
1985/04/17,0.8055,0.8075,0.8,0.8,0
1985/04/18,0.8038,0.805,0.797,0.798,0
1985/04/19,0.804,0.805,0.804,0.804,0
1985/04/22,0.81,0.815,0.809,0.812,0
1985/04/23,0.8113,0.816,0.8075,0.815,0
1985/04/24,0.815,0.825,0.814,0.8246,0
1985/04/25,0.825,0.8335,0.822,0.83,0
1985/04/26,0.83,0.8325,0.825,0.825,0
1985/04/29,0.82,0.822,0.812,0.8125,0
1985/04/30,0.811,0.8115,0.806,0.81,0
1985/05/01,0.8013,0.8055,0.7975,0.7985,0
1985/05/02,0.7952,0.8025,0.794,0.802,0
1985/05/03,0.8045,0.807,0.799,0.7991,0
1985/05/06,0.8003,0.8005,0.7925,0.7925,0
1985/05/07,0.7925,0.7925,0.79,0.79,0
1985/05/08,0.785,0.7895,0.785,0.789,0
1985/05/09,0.8,0.8045,0.7995,0.8035,0
1985/05/10,0.787,0.808,0.787,0.7915,0
1985/05/13,0.791,0.798,0.791,0.798,0
1985/05/14,0.804,0.804,0.799,0.802,0
1985/05/15,0.8025,0.8025,0.799,0.8,0
1985/05/16,0.8018,0.805,0.8,0.8013,0
1985/05/17,0.802,0.8035,0.799,0.8035,0
1985/05/20,0.774,0.779,0.774,0.778,0
1985/05/21,0.78,0.7862,0.78,0.781,0
