Date,Open,High,Low,Close,Vol
1992/01/09,90.45,90.45,90.45,90.45,0
1992/01/10,90.35,90.35,90.35,90.35,0
1992/01/13,90.11,90.11,90.11,90.11,0
1992/01/14,90.09,90.09,90.09,90.09,0
1992/01/15,90.16,90.21,90.13,90.21,0
1992/01/16,90.07,90.07,90.07,90.07,0
1992/01/17,90.22,90.22,90.22,90.22,0
1992/01/20,90.05,90.05,90.05,90.05,0
1992/01/21,90.04,90.04,90.04,90.04,0
1992/01/22,89.86,89.86,89.86,89.86,0
1992/01/23,89.84,89.84,89.84,89.84,0
1992/01/24,89.72,89.72,89.72,89.72,0
1992/01/28,89.66,89.66,89.66,89.66,0
1992/01/29,89.55,89.55,89.55,89.55,0
1992/01/30,89.47,89.47,89.47,89.47,0
1992/01/31,89.66,89.66,89.66,89.66,0
1992/02/03,89.52,89.52,89.52,89.52,0
1992/02/04,89.51,89.51,89.51,89.51,0
1992/02/05,89.46,89.46,89.46,89.46,0
1992/02/06,89.62,89.62,89.59,89.59,0
1992/02/07,89.6,89.63,89.6,89.63,0
1992/02/10,89.72,89.72,89.72,89.72,0
1992/02/11,89.73,89.73,89.67,89.67,0
1992/02/12,89.735,89.735,89.735,89.735,0
1992/02/13,89.75,89.75,89.615,89.615,0
1992/02/14,89.63,89.64,89.615,89.64,0
1992/02/17,89.69,89.715,89.68,89.715,0
1992/02/18,89.785,89.785,89.785,89.785,0
1992/02/19,89.75,89.75,89.735,89.735,0
1992/02/20,89.795,89.86,89.795,89.86,0
1992/02/21,89.875,89.875,89.775,89.775,0
1992/02/24,89.75,89.76,89.74,89.76,0
1992/02/25,89.755,89.82,89.755,89.82,0
1992/02/26,89.84,89.84,89.84,89.84,0
1992/02/27,89.625,89.68,89.62,89.68,0
1992/02/28,89.7,89.79,89.7,89.79,0
1992/03/02,89.83,89.88,89.81,89.81,0
1992/03/03,89.735,89.83,89.72,89.81,0
1992/03/04,89.785,89.82,89.775,89.785,0
1992/03/05,89.8,89.815,89.77,89.81,0
1992/03/06,89.775,89.8,89.76,89.785,0
1992/03/09,89.815,89.83,89.815,89.825,0
1992/03/10,89.83,89.915,89.83,89.91,0
1992/03/11,89.92,89.97,89.9,89.945,0
1992/03/12,89.905,89.995,89.895,89.95,0
1992/03/13,89.86,89.905,89.84,89.905,0
1992/03/16,89.7,89.7,89.7,89.7,0
1992/03/17,89.76,89.76,89.76,89.76,0
1992/03/18,89.82,89.82,89.82,89.82,0
1992/03/19,89.82,89.82,89.82,89.82,0
