Date,Open,High,Low,Close,Vol
2002/04/05,10246,10340,10222,10290,2339
2002/04/08,10277,10280,10105,10268,4234
2002/04/09,10290,10311,10205,10222,4407
2002/04/10,10229,10399,10215,10383,6189
2002/04/11,10378,10378,10158,10170,6372
2002/04/12,10210,10240,10140,10194,5387
2002/04/15,10196,10230,10068,10093,6740
2002/04/16,10141,10344,10132,10304,4122
2002/04/17,10309,10338,10185,10228,5340
2002/04/18,10238,10272,10040,10175,4857
2002/04/19,10140,10274,10140,10252,4241
2002/04/22,10247,10263,10111,10135,3306
2002/04/23,10148,10177,10065,10095,7043
2002/04/24,10115,10161,10015,10020,6065
2002/04/25,10015,10045,9919,10042,8117
2002/04/26,10036,10077,9860,9865,4615
2002/04/29,9907,9933,9806,9818,5401
2002/04/30,9836,10003,9817,9930,6327
2002/05/01,9963,10081,9820,10070,6247
2002/05/02,10076,10114,10029,10090,4509
2002/05/03,10074,10108,9920,9986,5546
2002/05/06,10004,10018,9781,9790,5290
2002/05/07,9800,9920,9790,9800,6603
2002/05/08,9875,10148,9871,10115,8012
2002/05/09,10127,10134,10008,10033,6699
2002/05/10,9933,9933,9930,9930,5086
2002/05/13,9938,10111,9915,10105,5584
2002/05/14,10110,10297,10089,10291,5805
2002/05/15,10291,10349,10220,10265,7445
2002/05/16,10267,10319,10228,10293,6459
2002/05/17,10333,10364,10256,10337,3860
2002/05/20,10335,10335,10210,10240,5071
2002/05/21,10232,10285,10087,10123,5373
2002/05/22,10135,10159,10062,10152,6804
2002/05/23,10127,10228,10086,10220,5867
2002/05/24,10221,10245,10085,10093,4769
2002/05/28,10125,10143,9965,10003,7196
2002/05/29,9995,9998,9915,9925,6608
2002/05/30,9940,9967,9801,9921,8621
2002/05/31,9935,10047,9889,9905,5173
2002/06/03,9899,9990,9678,9683,7626
2002/06/04,9700,9750,9593,9700,10168
2002/06/05,9735,9812,9688,9805,6210
2002/06/06,9800,9821,9510,9630,6595
2002/06/07,9546,9641,9468,9590,6285
2002/06/10,9614,9718,9560,9654,7694
2002/06/11,9642,9764,9505,9525,7581
2002/06/12,9546,9633,9448,9622,8481
2002/06/13,9652,9655,9488,9514,1710
2002/06/14,9505,9505,9250,9480,667
2002/06/17,9490,9695,9480,9680,7199
2002/06/18,9680,9760,9625,9755,6337
2002/06/19,9720,9736,9532,9560,8008
2002/06/20,9575,9595,9419,9428,8168
2002/06/21,9420,9480,9205,9267,8120
2002/06/24,9270,9382,9070,9310,13579
2002/06/25,9338,9405,9100,9105,9588
2002/06/26,9000,9171,8864,9115,8572
2002/06/27,9140,9278,9025,9266,7884
2002/06/28,9289,9360,9222,9230,3833
2002/07/01,9225,9324,9088,9096,5200
2002/07/02,9076,9141,8958,9010,5132
2002/07/03,9025,9070,8893,9047,5684
2002/07/05,9052,9412,9050,9392,2965
2002/07/08,9393,9393,9237,9278,4999
2002/07/09,9295,9324,9077,9098,5063
2002/07/10,9096,9172,8775,8795,6867
2002/07/11,8803,8858,8597,8797,8689
2002/07/12,8830,8879,8590,8648,6930
2002/07/15,8636,8689,8232,8662,11583
2002/07/16,8662,8664,8395,8473,7363
2002/07/17,8439,8721,8402,8525,9272
2002/07/18,8520,8630,8341,8365,7452
2002/07/19,8351,8356,7948,7998,8843
2002/07/22,7920,8113,7698,7785,13743
2002/07/23,7815,7950,7646,7698,10119
2002/07/24,7685,8230,7460,8205,12974
2002/07/25,8200,8306,7918,8170,11207
2002/07/26,8170,8273,8084,8267,6928
2002/07/29,8290,8711,8277,8665,8746
2002/07/30,8645,8757,8530,8694,9778
2002/07/31,8660,8770,8523,8705,10510
2002/08/01,8687,8706,8452,8478,10082
2002/08/02,8460,8493,8185,8300,9153
2002/08/05,8295,8302,8011,8037,10592
2002/08/06,8022,8413,7980,8285,10584
2002/08/07,8325,8460,8205,8440,11966
2002/08/08,8440,8709,8414,8695,11639
2002/08/09,8675,8791,8562,8725,8097
2002/08/12,8721,8721,8567,8670,6530
2002/08/13,8675,8738,8454,8480,6899
2002/08/14,8482,8751,8350,8720,10920
2002/08/15,8720,8858,8682,8807,12381
2002/08/16,8775,8837,8705,8765,6414
2002/08/19,8830,8997,8700,8967,7477
2002/08/20,8951,8974,8815,8885,6202
2002/08/21,8884,8985,8799,8975,10128
2002/08/22,8987,9081,8927,9040,7896
2002/08/23,9075,9075,8823,8868,6746
2002/08/26,8875,8955,8753,8910,8119
2002/08/27,8900,9024,8779,8835,9385
2002/08/28,8845,8854,8639,8682,6879
2002/08/29,8690,8744,8557,8653,7858
2002/08/30,8650,8784,8594,8633,6415
2002/09/03,8568,8580,8289,8298,13957
2002/09/04,8297,8455,8279,8390,10378
2002/09/05,8378,8386,8209,8313,10561
2002/09/06,8292,8480,8292,8433,9706
2002/09/09,8428,8559,8313,8492,10758
2002/09/10,8498,8628,8496,8620,12006
2002/09/11,8630,8760,8540,8552,8989
2002/09/12,8558,8570,8350,8393,2872
2002/09/13,8359,8388,8249,8327,2506
2002/09/16,8330,8382,8245,8375,10313
2002/09/17,8490,8580,8090,8178,15021
2002/09/18,8150,8245,8032,8095,19406
2002/09/19,8090,8104,7904,7913,17480
2002/09/20,7922,7994,7893,7945,11185
2002/09/23,7915,7970,7760,7865,14919
2002/09/24,7853,7860,7636,7678,15174
2002/09/25,7640,7879,7604,7847,16823
2002/09/26,7832,7994,7820,7952,13772
2002/09/27,7943,7960,7656,7663,13189
2002/09/30,7650,7667,7429,7570,19696
2002/10/01,7563,7985,7530,7972,18422
2002/10/02,7952,7957,7710,7765,19016
2002/10/03,7735,7903,7667,7708,17830
2002/10/04,7733,7813,7447,7550,18696
2002/10/07,7521,7621,7388,7443,19524
2002/10/08,7461,7610,7310,7510,27046
2002/10/09,7512,7525,7253,7280,28684
2002/10/10,7263,7543,7174,7505,26273
2002/10/11,7486,7885,7461,7862,21781
2002/10/14,7825,7898,7734,7858,16256
2002/10/15,7872,8260,7863,8252,25833
2002/10/16,8164,8260,7990,8038,22541
2002/10/17,8153,8360,8140,8255,17626
2002/10/18,8321,8350,8126,8295,16736
2002/10/21,8285,8539,8210,8515,18177
2002/10/22,8477,8478,8356,8445,18561
2002/10/23,8424,8522,8276,8492,21982
2002/10/24,8520,8558,8252,8275,19728
2002/10/25,8267,8442,8237,8440,15899
2002/10/28,8450,8543,8305,8378,17989
2002/10/29,8374,8383,8163,8346,22063
2002/10/30,8352,8446,8288,8410,20707
2002/10/31,8390,8485,8315,8350,19724
2002/11/01,8336,8550,8283,8490,15858
2002/11/04,8575,8720,8532,8542,17020
2002/11/05,8545,8676,8517,8648,18394
2002/11/06,8682,8785,8566,8767,20877
2002/11/07,8729,8729,8526,8574,18414
2002/11/08,8588,8658,8480,8495,16820
2002/11/11,8490,8501,8326,8355,10794
2002/11/12,8348,8496,8347,8397,20434
2002/11/13,8362,8485,8280,8425,23734
2002/11/14,8404,8546,8390,8520,21554
2002/11/15,8510,8579,8446,8566,16711
2002/11/18,8562,8638,8471,8480,15641
2002/11/19,8474,8541,8398,8485,19999
2002/11/20,8499,8694,8434,8672,17961
2002/11/21,8665,8869,8645,8859,20880
2002/11/22,8843,8876,8788,8796,14874
2002/11/25,8820,8870,8754,8827,15082
2002/11/26,8819,8844,8660,8665,21563
2002/11/27,8689,8939,8665,8927,16290
2002/11/29,8920,8960,8850,8870,4811
2002/12/02,8870,9044,8780,8870,20750
2002/12/03,8885,8894,8718,8765,20807
2002/12/04,8736,8809,8646,8743,23246
2002/12/05,8742,8828,8605,8640,22277
2002/12/06,8640,8682,8486,8657,21810
2002/12/09,8675,8675,8441,8453,20667
2002/12/10,8481,8578,8467,8555,20388
2002/12/11,8550,8627,8485,8570,16717
