Date,Open,High,Low,Close,Vol
1993/02/05,92.45,92.46,92.32,92.35,0
1993/02/08,92.28,92.28,92.17,92.2,0
1993/02/09,92.18,92.29,92.15,92.28,0
1993/02/10,92.25,92.34,92.22,92.32,0
1993/02/11,92.35,92.37,92.26,92.32,0
1993/02/12,92.36,92.37,92.33,92.36,0
1993/02/15,92.37,92.43,92.36,92.41,0
1993/02/16,92.41,92.43,92.38,92.43,0
1993/02/17,92.49,92.53,92.46,92.49,0
1993/02/18,92.51,92.52,92.41,92.44,0
1993/02/19,92.47,92.55,92.47,92.54,0
1993/02/22,92.57,92.68,92.57,92.65,0
1993/02/23,92.69,92.78,92.65,92.67,0
1993/02/24,92.79,92.89,92.79,92.87,0
1993/02/25,92.89,93.18,92.88,93.13,0
1993/02/26,93.15,93.39,93.13,93.28,0
1993/03/01,93.29,93.64,93.29,93.47,0
1993/03/02,93.49,93.49,93.34,93.37,0
1993/03/03,93.38,93.38,93.26,93.33,0
1993/03/04,93.35,93.38,93.26,93.3,0
1993/03/05,93.36,93.36,93.27,93.29,0
1993/03/08,93.18,93.24,93.08,93.11,0
1993/03/09,93.09,93.23,93.07,93.21,0
1993/03/10,93.19,93.38,93.19,93.37,0
1993/03/11,93.37,93.47,93.33,93.38,0
1993/03/12,93.32,93.38,93.28,93.38,0
1993/03/15,92.93,93.32,92.92,93.28,0
1993/03/16,93.38,93.44,93.33,93.38,0
1993/03/17,93.34,93.41,93.34,93.41,0
1993/03/18,93.46,93.47,93.35,93.36,0
1993/03/19,93.42,93.46,93.38,93.42,0
1993/03/22,93.43,93.44,93.37,93.4,0
1993/03/23,93.4,93.44,93.09,93.16,0
1993/03/24,93.24,93.25,93.08,93.21,0
1993/03/25,93.22,93.23,93.16,93.18,0
1993/03/26,93.06,93.1,93.02,93.07,0
1993/03/29,93,93.16,92.99,93.14,0
1993/03/30,93.16,93.3,93.16,93.28,0
1993/03/31,93.26,93.36,93.22,93.24,0
1993/04/01,93.25,93.27,93.1,93.16,0
1993/04/02,93.13,93.21,93.12,93.19,0
1993/04/05,93.14,93.17,93.13,93.16,0
1993/04/06,93.2,93.29,93.2,93.28,0
1993/04/07,93.35,93.43,93.34,93.41,0
