Date,Open,High,Low,Close,Vol
1998/11/04,126.4688,126.875,126.4688,126.8438,29238
1998/11/05,126.8438,126.875,126.5313,126.6875,27129
1998/11/06,126.8125,127.0938,125.0625,125.5938,48398
1998/11/09,126.9375,127.25,126.8125,127.25,27355
1998/11/10,126.9688,127.6875,126.8125,127.3125,23159
1998/11/11,127.25,127.375,127.2188,127.3438,43475
1998/11/12,127.8125,128.0313,127.7188,127.9375,43475
1998/11/13,127.8125,128.0625,127.375,127.75,32144
1998/11/16,127.2813,127.5,127.0625,127.4063,24169
1998/11/17,126.8125,127,126.75,126.7813,14986
1998/11/18,127.9063,127.9063,127.6563,127.875,27130
1998/11/19,127.8125,128.0938,127.75,127.9375,37015
1998/11/20,127.8438,128.7188,127.75,128.25,32956
1998/11/23,127.5313,127.5313,127.1875,127.25,27903
1998/11/24,127.875,128.0313,127.875,127.9063,15017
1998/11/25,127.75,128.2813,127.75,128.2813,31384
1998/11/27,128.375,128.5625,128.375,128.4688,17431
1998/11/30,129.625,129.7813,129.625,129.6875,315
1998/12/01,129.9375,130.0313,129.8438,129.9063,12202
1998/12/02,130.2188,130.6875,130.1563,130.5625,34818
1998/12/03,130.3125,130.5313,130.1875,130.3125,5506
1998/12/04,130.3125,130.5313,129.4063,129.5,49964
1998/12/07,129.4375,129.875,129.2813,129.6563,11025
1998/12/08,130,130.4688,129.9063,130.3438,15821
1998/12/09,130.5313,130.5313,130.2813,130.5313,20161
1998/12/10,130.5625,130.7188,130.5,130.5938,37691
1998/12/11,130.625,130.9063,129.5,129.6563,25899
1998/12/14,130.3438,130.375,129.9688,130.1563,25256
1998/12/15,129.2188,129.375,129.2188,129.3438,18101
1998/12/16,129.6875,130,129.625,129.8125,22722
1998/12/17,129.6875,129.6875,129.4375,129.5938,24585
1998/12/18,129.6875,129.6875,129.2813,129.5313,25846
1998/12/22,127.5313,127.5625,127.5313,127.5625,3896
1998/12/23,126.625,126.625,126.5313,126.5938,33314
1998/12/24,126.625,126.9688,126.0625,126.0625,11024
1998/12/28,127.1563,127.2813,127.1563,127.2813,6509
1998/12/29,127.75,127.8125,127.75,127.8125,3473
1998/12/30,127.9063,128,127.8125,127.8125,6373
1998/12/31,127.9063,128.125,127.4063,127.7813,8090
1999/01/04,127.4688,127.6563,127.25,127.3438,1991
1999/01/06,127.5313,127.5938,127.5313,127.5938,25380
1999/01/07,126.5,126.5,126.4688,126.4688,22245
1999/01/08,126.5,126.5938,125.0938,125.0938,39271
1999/01/11,124.625,124.6563,124.5625,124.625,26476
1999/01/12,125.5625,125.5625,125.5625,125.5625,40763
1999/01/13,126.0625,126.125,126,126.125,44351
1999/01/14,127.2813,127.2813,127.25,127.2813,111954
1999/01/15,127.25,127.9375,126.3438,126.5313,39916
1999/01/19,126.625,126.7188,126.625,126.6563,56450
1999/01/20,126.0938,126.1875,126.0625,126.1563,18264
1999/01/21,126.875,126.9688,126.875,126.9375,33472
1999/01/22,126.875,127.8125,126.8125,127.7188,36570
1999/01/25,127.3438,127.4063,127.3438,127.375,45377
1999/01/26,127.375,127.5,127.2188,127.2813,25216
1999/01/27,127.375,127.5,127.0313,127.2813,7162
1999/01/28,127.8438,127.9063,127.8438,127.875,36514
1999/01/29,127.8438,128.0313,127.3438,127.875,43795
1999/02/01,126.6875,126.7188,126.6563,126.7188,26609
1999/02/02,125.7813,125.8125,125.7813,125.8125,13776
