Date,Open,High,Low,Close,Vol
2000/08/31,205,206,205,206,30
2000/09/01,206.5,207.5,206.5,207.5,10
2000/09/05,207.5,209.5,207.5,207.5,64
2000/09/06,209.5,209.5,208.5,208.5,116
2000/09/07,205.5,205.5,205.25,205.25,15
2000/09/08,204.75,205.5,204.75,205.5,26
2000/09/11,207,207,206,206,6
2000/09/12,208,209,208,209,47
2000/09/13,206,206.5,206,206.5,52
2000/09/14,203.25,204,203.25,203.75,33
2000/09/15,201.5,202,201,201,259
2000/09/18,200,200,199.5,199.5,146
2000/09/19,200,200,200,200,47
2000/09/20,199,199.5,199,199.5,89
2000/09/21,200,200,199.25,199.25,71
2000/09/22,201.5,201.75,201,201,85
2000/09/25,204.75,205,204.5,205,76
2000/09/26,204.75,206.5,204.75,206,205
2000/09/27,205.75,205.75,205,205,35
2000/09/28,206,206.75,206,206.75,117
2000/09/29,207,208.5,207,208.5,169
2000/10/02,208.25,209,208.25,209,137
2000/10/03,210.25,211,210.25,211,101
2000/10/04,214.5,215,214.25,214.25,143
2000/10/05,215.75,215.75,214.75,214.75,63
2000/10/06,215,215,214.75,214.75,77
2000/10/09,213.5,214.25,213.5,214,14
2000/10/10,212.25,212.5,212.25,212.5,30
2000/10/11,214.5,214.75,214.25,214.25,68
2000/10/12,214.5,215.5,214,215.5,122
2000/10/13,218.5,218.5,218.25,218.5,114
2000/10/16,218.5,219,218.5,219,96
2000/10/17,217.25,217.5,217.25,217.5,162
2000/10/18,218,218.25,217.75,218.25,64
2000/10/19,217,217.5,217,217.5,76
2000/10/20,217,217.75,217,217.75,93
2000/10/23,216,216,215.5,215.5,59
2000/10/24,214.25,214.25,214.25,214.25,72
2000/10/25,215,215,214.5,215,139
2000/10/26,214.25,214.75,214,214.75,94
2000/10/27,213.5,213.5,213,213,212
2000/10/30,212.5,212.5,212.25,212.25,256
2000/10/31,211.75,212,211.5,212,392
2000/11/02,218,221.25,218,220,257
2000/11/03,223,223.5,223,223.5,180
2000/11/06,224.5,225,224,225,121
2000/11/07,225.25,225.5,225,225,122
2000/11/08,226.5,226.75,226.5,226.75,89
2000/11/09,227.5,227.5,227,227.5,169
2000/11/10,225.25,225.5,225.25,225.5,66
2000/11/13,224,224.5,223.75,224,64
2000/11/14,223,223.75,223,223.5,148
2000/11/15,220.5,221.25,220.5,221,239
2000/11/16,219.75,220,219.5,220,169
2000/11/17,221,223,221,222.25,327
2000/11/20,223.25,224.5,223,224,566
2000/11/21,222.75,223,222.25,222.5,324
2000/11/22,222.75,223.25,222.5,222.5,389
2000/11/24,222.25,223.5,222.25,223.5,233
2000/11/27,223,224.5,222.75,223.5,99
2000/11/28,222.5,222.75,222.25,222.25,330
2000/11/29,227.75,227.75,227.25,227.75,124
2000/11/30,225.5,225.5,225.5,225.5,6
2000/12/01,225.5,228.25,225.5,228.25,17
2000/12/05,227.5,227.5,227.5,227.5,1
2000/12/07,226.5,226.5,226,226.5,5
2000/12/08,223,223,223,223,3
2000/12/11,226,226,226,226,1
2000/12/12,224.5,225,224.5,225,10
2000/12/13,224,224,224,224,10
2000/12/14,225.5,226.75,225.5,226.75,35
2000/12/15,226,228,226,228,60
2000/12/18,226.25,228,225.75,228,148
2000/12/19,230.5,231,229.5,231,60
2000/12/20,233,233.5,232.75,233.5,108
2000/12/21,232.75,233,232.25,232.75,94
2000/12/22,234,234.5,234,234.5,66
2000/12/27,234.5,234.5,233.5,233.5,34
2000/12/28,236.5,237.5,236.5,237.5,333
2000/12/29,237.25,237.75,237,237.75,107
2001/01/02,238.5,240,238.5,240,249
2001/01/03,235,235,235,235,39
2001/01/04,237.5,238,237.5,237.75,90
2001/01/05,237.25,237.5,237.25,237.25,26
2001/01/08,233.5,233.5,233,233,87
2001/01/09,233.5,234,233.25,234,164
2001/01/10,234.75,236,234.75,236,45
2001/01/11,236.75,238.5,236.75,237.75,171
2001/01/12,230.5,231,230,231,166
2001/01/16,227.25,227.25,226,226,246
2001/01/17,224.25,224.25,223.5,223.75,483
2001/01/18,225.25,227,225.25,227,132
2001/01/19,226.25,227,226.25,227,62
2001/01/22,223,223.25,222.5,222.5,132
2001/01/23,223.75,225,223.75,224.75,62
2001/01/24,222.25,223.25,222.25,223.25,81
2001/01/25,223.25,223.5,222.5,223.5,169
2001/01/26,221.25,222,221,221,73
2001/01/29,217.75,218,217.25,217.25,169
2001/01/30,216.5,217.5,216.5,217.5,349
2001/01/31,217.5,217.75,217,217,191
2001/02/01,217,217,216.5,216.5,76
2001/02/02,219,219.75,219,219.5,241
2001/02/05,221.25,221.25,221,221,40
2001/02/06,219.5,220,219.5,220,3
2001/02/07,221.5,222.25,221,221.75,148
2001/02/08,220,220,219.25,219.75,139
2001/02/09,218,218.25,217.5,217.5,148
2001/02/12,218.5,218.75,218,218.75,45
2001/02/14,218,219.25,217.75,218.5,316
2001/02/15,220.75,222,220.75,221.75,394
2001/02/16,220,220.75,220,220.5,111
2001/02/20,219.25,221,219.25,221,134
2001/02/21,220.25,220.75,220,220,186
2001/02/22,218,218.5,217.75,217.75,339
2001/02/26,217,218,217,217.75,345
2001/02/27,225,225.25,225,225,42
2001/02/28,226.25,227.5,226.25,227.5,55
2001/03/01,229.5,230,229.5,230,69
2001/03/06,230.5,230.5,230.25,230.5,37
2001/03/07,231,231.75,231,231.5,66
2001/03/08,228,229.25,228,229.25,145
2001/03/09,228.25,229,228.25,228.75,35
2001/03/12,228,228.25,227.5,227.5,947
2001/03/13,228.75,230,228.75,230,32
2001/03/14,228.25,228.5,228,228.5,22
2001/03/15,225.25,225.5,224.25,224.5,182
2001/03/16,219,219.75,218.75,219,59
2001/03/19,216,217,216,216.75,184
2001/03/20,217,217.25,217,217.25,51
2001/03/21,219.75,220,219.75,220,127
2001/03/22,218.25,218.25,216.75,216.75,148
2001/03/23,213.5,214,213,213.5,191
2001/03/26,216,216.75,215.5,216,124
2001/03/27,217.5,218,217.5,218,29
2001/03/28,218.75,218.75,218.5,218.75,17
2001/03/29,217,217.5,217,217.5,184
2001/03/30,215,215,214,214.5,171
2001/04/02,216,217.5,216,217.25,144
2001/04/04,217,218,216.75,217.25,62
2001/04/05,219.5,220.5,219.5,220.5,84
2001/04/06,220,222,220,221.75,242
2001/04/09,218.5,220.5,218.25,220.25,246
2001/04/10,219,219.75,218.75,218.75,129
2001/04/11,217.5,217.75,217,217.25,290
2001/04/12,218.25,218.75,218,218.5,296
2001/04/16,220.5,221.75,220.5,221.75,181
2001/04/17,220,221.25,219.75,220,496
2001/04/18,217.25,217.75,217.25,217.75,126
2001/04/19,217,217.5,216.75,216.75,338
2001/04/20,211.75,213,211.75,211.75,776
2001/04/23,209.5,210.75,208.75,209,890
2001/04/24,204.5,205.5,204.5,205.5,290
2001/04/25,202.25,203.25,202.25,202.25,376
2001/04/26,203.5,204.75,203.5,204.75,290
2001/04/27,207.5,207.5,206.25,207,608
2001/04/30,212.5,212.5,211.75,212.5,2
2001/05/01,215.5,216,215.5,216,28
2001/05/02,215.5,215.75,215.5,215.75,54
2001/05/03,216.5,217,216.5,216.5,3
2001/05/04,215.5,216,215.5,216,8
2001/05/07,218,219,217,217.5,3
2001/05/08,216,216.25,215.75,216,22
2001/05/09,212.75,213.25,212,212.5,130
2001/05/10,212.75,212.75,212.5,212.75,28
2001/05/11,206,206.75,206,206.75,2
2001/05/14,204.75,205.75,204.75,204.75,10
2001/05/15,209.5,209.75,209.5,209.75,64
2001/05/16,209,209,208.75,208.75,8
2001/05/17,209.25,209.25,209.25,209.25,11
2001/05/18,209.25,209.25,209,209,11
2001/05/21,207.5,207.5,206.25,207.5,175
2001/05/22,201.75,202.75,201.75,202.25,79
2001/05/23,199.5,200.5,199.5,200.25,68
2001/05/24,200.25,200.5,200.25,200.25,3
2001/05/25,201.75,202.25,201.5,201.5,36
2001/05/29,199,200,198,198,33
2001/05/30,198,198.25,198,198,12
2001/05/31,198,198,197,197.25,102
2001/06/01,200,201,200,201,12
2001/06/04,205.5,205.75,204.25,205.75,172
2001/06/05,216,217,215.75,216.25,554
2001/06/06,213.75,213.75,213.5,213.75,195
2001/06/07,217.5,218.5,217.5,218.5,214
2001/06/08,217,217,214.5,216.25,167
2001/06/12,217.25,217.5,216.5,217.5,359
2001/06/13,215.5,217,215.25,217,204
2001/06/14,215,215,214.25,214.25,108
2001/06/15,213.5,213.5,212.5,213.25,204
2001/06/18,210.5,210.5,208.25,210.5,122
2001/06/19,210.5,211,209,210,522
2001/06/20,210.5,211.5,210.25,211,122
2001/06/21,208.5,209.5,208.5,209.5,185
2001/06/22,206.25,208,206.25,207,359
2001/06/25,205.5,206,204.25,204.25,823
2001/06/26,202.5,203.5,202.5,202.75,467
2001/06/27,204.25,205.25,204.25,205.25,497
2001/06/28,206.75,208,206.75,208,909
2001/06/29,208,208,207.25,207.5,385
2001/07/02,208,208.25,206.25,207,541
2001/07/03,211.25,211.5,210,210,798
2001/07/05,213.75,214,209.75,212,1036
2001/07/06,217,217.5,216.25,216.5,798
2001/07/09,215,217.5,215,217,1244
2001/07/10,223,226.25,221.25,226,1587
2001/07/11,228,231.5,228,231.5,2404
2001/07/12,236.25,238,234.25,237.75,1587
2001/07/13,245,247.25,242.5,244,4189
2001/07/16,235.75,236,229.5,230,2849
2001/07/17,229,239,229,238,4189
2001/07/18,236,237,226.75,228,2849
2001/07/19,228.25,231.5,227.5,229,1413
2001/07/20,228.25,229,226,227.75,2165
2001/07/23,218.5,219.25,215,219.25,1413
2001/07/24,226.25,230,224.5,226,607
2001/07/25,228,230.5,226.75,229,3152
2001/07/26,232,233,230.5,233,3411
2001/07/27,229.25,231,228.25,230.75,3152
2001/07/30,229.25,231.75,229,229.75,1365
2001/07/31,224.25,224.5,222,224,2152
2001/08/01,230.25,231.5,227,231,1573
2001/08/02,227.5,229.5,227.5,228.25,2152
2001/08/03,225.75,227.5,225.75,226.5,1573
2001/08/06,223,223.75,222,222.5,1013
2001/08/07,228.5,229,227.75,228,688
2001/08/08,228,228.5,227.5,227.5,670
2001/08/09,229,230,229,230,1204
2001/08/10,231,234,231,234,670
2001/08/13,234.75,236,234,234.25,356
2001/08/14,236,236.5,233.75,233.75,1741
2001/08/15,233.75,235,233.75,235,1177
2001/08/16,231.75,233,231.5,231.5,1741
2001/08/17,229.25,230.5,228.25,228.75,1141
2001/08/20,225.75,225.75,223.25,224.5,557
2001/08/21,227,228,226.25,228,1780
2001/08/22,227,228,227,228,717
2001/08/23,227.75,228.25,227,227,452
2001/08/24,230.5,230.75,230,230.25,1257
2001/08/27,227,227.75,226.5,227,452
2001/08/28,232,233,231.5,233,1254
2001/08/29,228.75,229.5,228.5,228.5,575
2001/08/30,242,242.25,242,242.25,50
2001/08/31,241.5,241.5,241.5,241.5,76
2001/09/04,242.5,242.75,242.5,242.5,72
2001/09/05,243,243.5,242,243.25,87
2001/09/06,241,241,240,240,72
2001/09/07,237.5,238.25,237.5,238.25,77
2001/09/10,237,237.25,236.75,236.75,28
2001/09/11,238,238.25,238,238,77
2001/09/12,238.25,238.25,238.25,238.25,25
2001/09/14,240.25,242,240.25,241.5,99
2001/09/17,235,235,234.75,234.75,93
2001/09/18,233,233.5,233,233.5,9
2001/09/19,231.25,231.25,230.25,230.25,137
2001/09/20,228,228.25,227.75,227.75,9
2001/09/21,230.25,230.5,230,230.5,20
2001/09/24,229,229.5,228.75,229.5,23
2001/09/25,227,227.25,227,227.25,20
2001/09/26,227.5,228,227.5,228,42
2001/09/27,228.5,229,228.5,228.5,42
2001/09/28,227.5,227.5,227.25,227.5,19
2001/10/01,226,226.25,225.5,225.5,42
2001/10/02,223,223.25,223,223,19
2001/10/03,221.75,221.75,221,221,39
2001/10/04,222.5,223,222.5,222.75,97
2001/10/05,223,223.5,223,223.5,18
2001/10/08,225.75,226.25,225.75,226.25,37
2001/10/09,227,227.25,226.5,226.75,18
2001/10/10,224.75,225.25,224.75,225.25,80
2001/10/11,226,226.5,226,226,85
2001/10/12,225.5,225.5,224.75,225.25,83
2001/10/15,220.75,221,220.5,221,56
2001/10/16,218.5,218.5,218,218.5,175
2001/10/17,219,219,218.75,219,40
2001/10/18,220,221,220,220,87
2001/10/19,217.5,218.5,217.5,217.5,123
2001/10/22,217.5,217.5,217,217,175
2001/10/23,216.75,217.25,216.5,217,84
2001/10/24,216.75,217,216.75,217,46
2001/10/25,218.75,219,218.5,218.75,84
2001/10/26,219,219,219,219,52
2001/10/29,217.5,217.5,217.5,217.5,113
2001/10/30,216.25,216.75,216,216.75,52
2001/10/31,218.5,218.5,218,218.5,84
2001/11/01,217.5,217.5,217.25,217.25,107
2001/11/02,216.5,217.25,216.25,217,118
2001/11/05,215,215,214.75,215,105
