Date,Open,High,Low,Close,Vol
2000/05/22,95.3125,95.3125,95.3125,95.3125,5
2000/05/23,95.59375,95.625,95.54688,95.625,1
2000/05/24,95.70313,95.84375,95.70313,95.78125,63
2000/05/25,95.35938,95.4375,95.09375,95.40625,3619
2000/05/26,96.01563,96.1875,96.01563,96.0625,3077
2000/05/30,96.23438,96.26563,96.23438,96.26563,2504
2000/05/31,96.79688,96.82813,96.79688,96.82813,12116
2000/06/01,97.28125,97.34375,97.28125,97.32813,14113
2000/06/02,97.28125,98.6875,97.21875,97.375,14168
2000/06/05,97.85938,97.85938,97.84375,97.84375,19866
2000/06/06,97.76563,97.76563,97.75,97.75,12289
2000/06/07,97.75,97.75,97.73438,97.75,13054
2000/06/08,97.76563,97.76563,97.70313,97.73438,11694
2000/06/09,97.76563,97.84375,97.6875,97.76563,14403
2000/06/12,98.01563,98.01563,98,98,12722
2000/06/13,97.8125,97.82813,97.8125,97.82813,2656
2000/06/14,98.29688,98.29688,98.29688,98.29688,17850
2000/06/15,98.26563,98.26563,98.26563,98.26563,16701
2000/06/16,98.26563,98.32813,98.125,98.3125,17843
2000/06/19,98.51563,98.53125,98.51563,98.51563,11042
2000/06/20,98.375,98.39063,98.375,98.39063,7128
2000/06/21,97.8125,97.8125,97.8125,97.8125,11774
2000/06/22,97.75,97.76563,97.75,97.75,18299
2000/06/23,97.75,97.90625,97.71875,97.8125,13987
2000/06/26,97.92188,97.92188,97.90625,97.90625,12913
2000/06/27,97.96875,97.96875,97.96875,97.96875,8218
2000/06/28,97.90625,97.92188,97.89063,97.92188,16460
2000/06/29,98.34375,98.40625,98.34375,98.39063,12134
2000/06/30,98.34375,98.54688,98.34375,98.5,16891
2000/07/03,98.4375,98.5,98.25,98.35938,10535
2000/07/05,98.96875,98.96875,98.96875,98.96875,6089
2000/07/06,98.54688,98.54688,98.53125,98.53125,19740
2000/07/07,98.54688,98.95313,98.40625,98.625,21157
2000/07/10,98.6875,98.70313,98.6875,98.70313,17330
2000/07/11,98.57813,98.59375,98.57813,98.59375,8771
2000/07/12,98.35938,98.375,98.35938,98.375,11544
2000/07/13,98.92188,98.96875,98.92188,98.9375,13300
2000/07/14,98.92188,99.125,98.17188,98.17188,12064
2000/07/17,97.79688,97.79688,97.78125,97.78125,16117
2000/07/18,97.875,97.875,97.875,97.875,14091
2000/07/19,97.84375,97.85938,97.84375,97.85938,21571
2000/07/20,98.85938,98.85938,98.84375,98.85938,14855
2000/07/21,98.85938,98.90625,98.70313,98.84375,8427
2000/07/24,98.65625,98.71875,98.65625,98.70313,19250
2000/07/25,98.75,98.75,98.75,98.75,6931
2000/07/26,98.8125,98.8125,98.79688,98.8125,19505
2000/07/27,99.04688,99.04688,99.01563,99.01563,13808
2000/07/28,99.04688,99.10938,98.95313,99,9567
2000/07/31,98.84375,98.85938,98.84375,98.85938,14627
2000/08/01,99.20313,99.21875,99.20313,99.21875,6949
2000/08/02,99.35938,99.35938,99.3125,99.35938,12900
2000/08/03,99.5,99.51563,99.5,99.51563,20049
2000/08/04,99.5,99.60938,99.48438,99.53125,25762
2000/08/07,99.5,99.51563,99.5,99.51563,10384
2000/08/08,99.76563,99.76563,99.75,99.76563,11295
2000/08/09,99.8125,99.8125,99.79688,99.8125,15467
2000/08/10,100.0156,100.0313,100,100,16655
2000/08/11,100.0156,100.1875,99.59375,99.59375,15154
2000/08/14,99.75,99.75,99.73438,99.73438,20170
2000/08/15,99.5625,99.5625,99.54688,99.5625,10389
2000/08/16,99.4375,99.45313,99.4375,99.45313,2234
2000/08/17,99.51563,99.53125,99.51563,99.53125,10933
2000/08/18,99.51563,99.78125,99.42188,99.73438,15274
2000/08/21,99.65625,99.65625,99.65625,99.65625,9699
2000/08/22,99.71875,99.71875,99.70313,99.71875,13182
2000/08/23,100.125,100.125,100.125,100.125,7093
2000/08/24,100.1406,100.1406,100.1406,100.1406,18932
2000/08/25,100.1406,100.1875,100.0469,100.0938,29345
2000/08/28,99.76563,99.78125,99.76563,99.78125,5156
2000/08/29,99.8125,99.82813,99.53125,99.57813,9771
2000/08/30,99.53125,99.54688,99.53125,99.54688,26288
2000/08/31,100.125,100.1875,100.1094,100.1406,48087
2000/09/01,100.5156,100.5313,100.4844,100.5,28495
2000/09/05,100.4531,100.4531,100.4063,100.4375,38670
2000/09/06,100.2031,100.2031,100.1406,100.1563,39555
2000/09/07,100.0469,100.0469,100.0156,100.0313,44603
2000/09/08,100.1719,100.1719,100.1406,100.1563,29535
2000/09/11,99.96875,99.96875,99.90625,99.9375,25160
2000/09/12,99.95313,100,99.9375,99.95313,36189
2000/09/13,100.2813,100.3125,100.2656,100.2969,47974
2000/09/14,99.96875,100.0156,99.96875,99.96875,64961
2000/09/15,99.75,99.79688,99.75,99.75,42468
2000/09/18,99.64063,99.71875,99.64063,99.67188,56011
2000/09/19,99.75,99.78125,99.73438,99.76563,43727
2000/09/20,99.46875,99.5625,99.46875,99.51563,53048
2000/09/21,99.65625,99.95313,99.625,99.95313,46511
2000/09/22,99.85938,99.875,99.82813,99.82813,41462
2000/09/25,99.9375,99.96875,99.9375,99.9375,35044
2000/09/26,100.1719,100.2344,100.1406,100.1875,35198
2000/09/27,100.1094,100.1406,100.0938,100.125,52999
2000/09/28,100.1406,100.2188,100.0938,100.2031,39859
2000/09/29,100.2656,100.2656,100.2031,100.2188,38071
2000/10/02,100.1875,100.2031,100.1719,100.2031,23099
2000/10/03,99.9375,100.0625,99.90625,99.9375,30775
2000/10/04,99.75,99.79688,99.75,99.79688,41741
