Date,Open,High,Low,Close,Vol
1968/12/05,243.75,243.75,243.75,243.75,0
1968/12/06,243.5,244.75,243.5,244.75,0
1968/12/09,244.25,244.25,243.625,243.625,0
1968/12/10,243.75,243.75,243.75,243.75,0
1968/12/11,244.625,244.75,244.625,244.625,0
1968/12/12,244.875,245,244.875,245,0
1968/12/13,245.75,245.75,245.75,245.75,0
1968/12/16,245.5,245.5,245.5,245.5,0
1968/12/17,245.125,245.125,244.625,244.875,0
1968/12/18,244.75,244.75,244.75,244.75,0
1968/12/19,245,245,244.875,244.875,0
1968/12/20,246.125,246.375,246.125,246.25,0
1968/12/23,247.875,247.875,247.875,247.875,0
1968/12/24,246,246,246,246,0
1968/12/26,246,246.25,246,246.25,0
1968/12/27,246.25,246.25,246.25,246.25,0
1968/12/30,246.625,246.625,246.625,246.625,0
1968/12/31,246.75,246.75,246.625,246.625,0
1969/01/02,246.5,246.5,246.5,246.5,0
1969/01/03,246.375,246.375,246.375,246.375,0
1969/01/06,247,247,247,247,0
1969/01/07,247.25,247.25,247.25,247.25,0
1969/01/08,247.625,249.375,247.625,249.375,0
1969/01/09,249,249.5,249,249.125,0
1969/01/10,249.375,249.375,247.625,248.25,0
1969/01/13,246.75,246.75,244.25,244.5,0
1969/01/14,244,245.25,244,244.25,0
1969/01/15,244.625,245.125,244.625,245.125,0
1969/01/16,245.25,246,244.625,245.875,0
1969/01/17,246.25,246.25,245.25,245.5,0
1969/01/20,244.875,245.5,244.75,245.5,0
1969/01/21,245.5,245.625,245.25,245.5,0
1969/01/22,245.875,245.875,245.625,245.625,0
1969/01/23,246.5,246.625,246.125,246.5,0
1969/01/24,246.25,246.75,246.125,246.25,0
1969/01/27,246.125,246.125,245.75,245.75,0
1969/01/28,245.5,245.5,245.375,245.5,0
1969/01/29,245.75,245.75,245.25,245.5,0
1969/01/30,245.125,245.5,245.125,245.5,0
1969/01/31,245.625,245.875,245.375,245.75,0
1969/02/03,245.5,245.5,245.25,245.25,0
1969/02/04,245.375,245.625,245.25,245.625,0
1969/02/05,245.625,245.75,245.375,245.625,0
1969/02/06,245.625,245.75,245.625,245.75,0
1969/02/07,245.625,245.625,245.125,245.375,0
1969/02/10,244.75,244.75,244.5,244.75,0
1969/02/11,244.75,244.875,244.5,244.625,0
1969/02/12,244.625,244.75,244.5,244.75,0
1969/02/13,244.5,245.125,244.5,244.875,0
1969/02/14,244.75,244.75,243.375,243.5,0
1969/02/17,243.875,243.875,242.75,243,0
1969/02/18,242.875,243.125,242.5,243.125,0
1969/02/19,243,244.125,242.875,244.125,0
1969/02/20,243.5,243.875,243.375,243.5,0
1969/02/24,243.375,243.5,242.875,243.25,0
1969/02/25,243.125,243.25,242.875,243,0
