Date,Open,High,Low,Close,Vol
2000/08/31,281,282,281,282,15
2000/09/01,287,287,285.25,285.25,7
2000/09/05,284.25,287.5,284.25,287.5,11
2000/09/06,285.75,286,285.25,286,16
2000/09/07,280.5,280.75,280.5,280.5,5
2000/09/08,280.5,282.25,280.5,282.25,5
2000/09/11,283,283,280.75,280.75,28
2000/09/12,282.5,282.5,282.5,282.5,16
2000/09/13,278,279.75,278,279.75,67
2000/09/14,273.5,273.75,273.5,273.75,54
2000/09/15,271.25,271.25,271.25,271.25,1
2000/09/18,271,271,269.75,270.25,52
2000/09/19,275.25,275.25,273,273.5,12
2000/09/20,266,266,265,265,25
2000/09/21,266.75,266.75,265,265,29
2000/09/22,264.75,265,263.75,263.75,39
2000/09/25,269,272.25,269,272.25,59
2000/09/26,270.5,271,270.5,271,2
2000/09/27,272,272.5,270,271.5,30
2000/09/28,275.25,277,275.25,277,19
2000/09/29,276,276,275.5,275.5,15
2000/10/02,285,289,284,287.75,369
2000/10/03,286,286.25,286,286.25,63
2000/10/04,284,285.5,284,285,50
2000/10/05,284,284.75,282.25,284.75,104
2000/10/06,284,284.25,283.25,283.5,47
2000/10/09,285.25,285.75,284.25,285.25,49
2000/10/10,284,284,284,284,2
2000/10/11,292,292,290.5,290.5,24
2000/10/12,294.75,294.75,291.75,291.75,45
2000/10/13,290.5,290.5,289.5,290,23
2000/10/16,284,286,283.25,284.5,56
2000/10/17,288.25,290.75,288.25,289.25,14
2000/10/18,285.5,287.25,284.75,284.75,10
2000/10/19,280.25,282,280.25,282,10
2000/10/20,276,277.25,276,276,102
2000/10/23,276,277.5,276,277.5,8
2000/10/24,275.25,276,274.5,276,16
2000/10/25,274.75,274.75,274.25,274.5,13
2000/10/26,273,273.75,273,273.25,11
2000/10/27,273,274,273,274,11
2000/10/30,277,277.75,276,277.75,72
2000/10/31,274,274,271.75,271.75,26
2000/11/02,273,275.5,273,275.5,38
2000/11/03,278,279.5,278,279.25,12
2000/11/06,282,282.5,282,282.5,34
2000/11/07,280,280,279.5,279.5,27
2000/11/08,281.5,281.5,280,280.75,31
2000/11/09,283.75,284,283.5,284,30
2000/11/10,276,276,274,274.25,126
2000/11/13,275,275.5,274,275,61
2000/11/14,275,276,274.75,276,123
2000/11/15,274,275,274,274,64
2000/11/16,273,273.25,271,271,50
2000/11/17,272.5,274.25,272.5,274.25,25
2000/11/20,274.75,276,274.75,275.5,58
2000/11/21,273,274.5,272.5,273.5,56
2000/11/22,273.75,276.25,272.5,275.25,59
2000/11/24,276.5,279.5,268,278,156
2000/11/27,279,279.5,279,279.5,119
2000/11/28,273.5,275,273.5,273.5,81
2000/11/29,284.25,284.5,284,284.25,1
2000/11/30,284.25,284.25,280.25,280.25,1
2000/12/04,288,288,288,288,5
2000/12/05,288,290,288,290,5
2000/12/07,289.5,291,288,288,13
2000/12/08,278.25,278.75,278.25,278.25,1
2000/12/11,283,283,283,283,1
2000/12/12,282.75,282.75,281.75,281.75,4
2000/12/13,282.75,282.75,281.25,281.25,4
2000/12/14,281,283.25,281,283.25,2
2000/12/15,279,279,279,279,6
2000/12/18,277,279,276.75,278.5,35
2000/12/19,279,280,279,280,6
2000/12/20,283,284.75,283,283,1
2000/12/21,281.5,282,281.5,281.5,1
2000/12/22,286.25,287,286.25,287,2
2000/12/27,284.5,285,284.5,284.5,5
2000/12/28,284.5,284.5,283.75,283.75,5
2000/12/29,284.25,284.25,284.25,284.25,1
2001/01/02,290.5,290.5,288.5,288.75,44
2001/01/03,288,288,287.75,288,1
2001/01/04,293.75,294.5,293.75,294.5,15
2001/01/05,296,296,295.75,295.75,81
2001/01/08,285,294.5,285,293.25,56
2001/01/09,294,294,292.75,294,6
2001/01/10,296,297.25,296,297.25,12
2001/01/11,300,300.5,299.5,300.25,74
2001/01/12,300.25,300.25,300,300,12
2001/01/16,300.25,300.25,299.25,300,74
2001/01/17,295.25,296,295,295,24
2001/01/18,295,296,295,296,21
2001/01/19,296.75,297,296,296,9
2001/01/22,296.75,297.5,296,296,21
2001/01/23,296.75,297,296.75,296.75,9
2001/01/24,297.75,298.5,297.75,298.5,23
2001/01/25,297.25,297.25,297.25,297.25,2
2001/01/26,291.25,292,290.5,291,66
2001/01/29,288.25,288.25,287.25,288,2
2001/01/30,281,282.5,281,282.5,25
2001/01/31,280.25,282.5,280,280,10
2001/02/01,285,285,284.5,285,6
2001/02/02,282.25,282.25,281.25,281.25,7
2001/02/05,286.5,287,284.75,285.5,30
2001/02/06,280.25,280.5,278,278,198
2001/02/07,280.25,280.5,278,278.5,198
2001/02/08,278.5,279.25,278.5,279,6
2001/02/09,278.25,279.5,278.25,278.25,1
2001/02/12,278,278.25,278,278,4
2001/02/14,275,277.25,275,277.25,14
2001/02/15,282.5,282.5,280.25,280.25,10
2001/02/16,279.25,279.5,279.25,279.5,145
2001/02/20,278,279.5,276.75,279,10
2001/02/21,278.25,278.75,278.25,278.75,25
2001/02/22,275,275,274.25,275,76
2001/02/26,272,272,271.5,272,174
2001/02/27,281.5,282.5,281.5,282.5,2
2001/02/28,281.25,281.25,280.5,280.5,16
2001/03/01,288,290.25,287.5,290,52
2001/03/02,288.25,292,288.25,292,41
