Date,Open,High,Low,Close,Vol
1999/07/06,2380,2380,2380,2380,1
1999/07/08,2425,2425,2386,2386,1
1999/08/09,2243.5,2243.5,2222,2222,5
1999/08/10,2243.5,2243.5,2201.5,2201.5,0
1999/08/11,2243.5,2274,2243.5,2274,0
1999/08/13,2320,2320,2320,2320,0
1999/08/16,2320,2344,2320,2344,1
1999/08/17,2335,2335,2335,2335,0
1999/08/18,2375,2375,2375,2375,1
1999/08/19,2375,2375,2316,2316,0
1999/08/20,2375,2375,2326,2356.5,0
1999/08/23,2375,2427.5,2326,2427.5,0
1999/08/25,2496.5,2496.5,2460,2460,3
1999/08/26,2465,2470,2464.5,2464.5,3
1999/08/27,2465,2470,2458,2458,3
1999/08/31,2400,2403,2398,2398,4
1999/09/01,2400,2422,2398,2422,2
1999/09/02,2433,2433,2429,2433,1
1999/09/03,2523.5,2537.5,2513,2533,12
1999/09/07,2521,2557,2521,2530,17
1999/09/08,2524.5,2536,2486,2487,18
1999/09/09,2472,2538,2472,2533.5,2263
1999/09/10,2538,2585,2525,2565,3070
1999/09/17,2603.5,2603.5,2603.5,2603.5,0
1999/09/20,2603.5,2603.5,2600.5,2600.5,0
1999/09/22,2577.5,2577.5,2527,2542,0
1999/09/23,2577.5,2600.5,2464.5,2567,0
1999/09/24,2465,2465,2428.5,2463,0
1999/09/27,2465,2504,2428.5,2455.5,0
1999/09/28,2465,2490.5,2434,2481.5,0
1999/09/29,2467,2500.5,2467,2495,0
1999/09/30,2467,2481.5,2449,2449,0
1999/10/01,2447.5,2469,2430,2469,0
1999/10/04,2447.5,2518.5,2430,2465,0
1999/10/05,2558.5,2560,2503.5,2560,2
1999/10/06,2569,2578,2568,2568,2
1999/10/07,2595.5,2600.5,2581,2595.5,1
1999/10/08,2595.5,2602,2552,2581,1
1999/10/11,2595.5,2655,2552,2612.5,0
1999/10/12,2603.5,2603.5,2596,2603.5,1
1999/10/13,2579,2591.5,2542.5,2591.5,1
1999/10/14,2530,2530,2494,2507,0
1999/10/15,2460,2486.5,2440,2450,3
1999/10/18,2353.5,2407,2350,2350,2
1999/10/19,2476,2476,2411.5,2417.5,1
1999/10/20,2476,2509,2411.5,2414.5,1
1999/10/21,2476,2536.5,2462,2503,0
1999/10/22,2539,2569.5,2539,2545,0
1999/10/25,2539,2550.5,2526.5,2528.5,0
1999/10/26,2561,2567,2524,2561,1
1999/10/27,2504,2508,2486,2508,1
1999/10/28,2504,2588.5,2486,2510,0
1999/10/29,2671,2700,2671,2700,8
1999/11/01,2682.5,2702.5,2682.5,2689,8
1999/11/02,2682.5,2703.5,2672.5,2672.5,0
1999/11/03,2732.5,2732.5,2718.5,2732.5,1
1999/11/04,2732.5,2754,2718.5,2729.5,1
1999/11/05,2732.5,2812,2718.5,2756,0
1999/11/08,2792.5,2833,2792.5,2821,0
1999/11/09,2816,2854.5,2816,2843,0
1999/11/10,2848.5,2880,2817.5,2868,27
1999/11/11,2879.5,2892.5,2869,2875.5,2
1999/11/12,2850,2935,2842.5,2935,6
1999/11/15,2934,2945,2934,2945,6
1999/11/16,2923,3011.5,2923,2995,5
1999/11/17,2974.5,3013,2974.5,3013,8
1999/11/18,2990,3056.5,2985,3055,17
1999/11/19,3057,3082,3037,3074.5,21
1999/11/22,3081.5,3104.5,3063.5,3101,21
1999/11/23,3081.5,3111.5,3028.5,3109,11
1999/11/24,3036.5,3160.5,3032.5,3151.5,25
1999/11/26,3184,3203,3161,3162.5,8
1999/11/29,3153,3175,3113.5,3117.5,19
1999/11/30,3069,3116,3009,3009,8
1999/12/01,2998.5,3067,2998.5,3020,28
1999/12/02,3086,3154.5,3070.5,3151,25
1999/12/03,3174,3256.5,3146.5,3220,58
1999/12/06,3247,3270,3205.5,3240,58
1999/12/07,3268,3271.5,3207,3240,45
1999/12/08,3245,3269.5,3200.5,3212.5,114
1999/12/09,3211,3268,3120,3211,7784
1999/12/10,3210,3258,3173,3254,8573
1999/12/17,3466,3466,3466,3466,0
1999/12/20,3466,3498.5,3466,3498.5,0
1999/12/22,3498.5,3649,3466,3649,0
1999/12/23,3649,3718,3466,3670.5,0
1999/12/27,3670.5,3718,3466,3692,0
1999/12/29,3692,3750,3466,3674.5,0
1999/12/30,3674.5,3805,3468.84,3796.5,0
1999/12/31,3796.5,3806,3478.34,3806,0
2000/01/03,3816,3826,3816,3816,2
2000/01/05,3516,3584.5,3516,3516,1
2000/01/06,3500,3500,3500,3500,1
2000/01/07,3512.5,3512.5,3345,3512.5,2
2000/01/10,3737,3737,3736.5,3737,1
2000/01/11,3680,3680,3680,3680,1
2000/01/12,3680,3680,3553.5,3553.5,0
2000/01/14,3680,3784.5,3680,3702.5,0
2000/01/18,3848,3850,3846,3848,3
2000/01/19,3850,3850,3850,3850,1
2000/01/21,3850,3928.5,3850,3928.5,0
2000/01/24,3850,3928.5,3749.5,3928.5,0
2000/01/26,3850,3850,3706.5,3706.5,0
2000/01/27,3850,3850,3688,3688,0
2000/01/28,3850,3850,3525,3525,0
2000/01/31,3495,3662.5,3437.5,3662.5,2
2000/02/01,3687,3775.5,3687,3775.5,1
2000/02/02,3687,3786,3687,3786,1
2000/02/03,3783.5,3944.5,3783.5,3944.5,0
2000/02/04,3979,3979,3960.5,3960.5,2
2000/02/07,3979,4011.5,3960,4011.5,2
2000/02/08,4002,4151,4002,4151,1
2000/02/09,4149.5,4151.5,4032,4032,1
2000/02/10,4149.5,4168.5,4149.5,4168.5,0
